AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
Beaumont City,Beaumont WWTP No. 1,CA0105376,R8-2022-0042_City of Beaumont_Order_NPDES_Final 11-30-2022_esigned.pdf,No,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,FUTURE,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0
Benicia City,Benicia WWTP,CA0038091,Benicia R2-2025-0001.pdf,No,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brawley City,Brawley City WWTP,CA0104523,R7-2021-0005.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0
Brentwood City,Brentwood WWTP,CA0082660,r5-2024-0020_npdes.pdf,Yes,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,0,0,0,FUTURE,0,PRESENT,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,0,0,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0
Burbank City DPW,Burbank WRP,CA0055531,4424_R4-2023-0358_WDR_PKG.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,FUTURE,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlingame City PWD,Burlingame WWTP,CA0037788,Burlingame R2-2023-0010.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Ca Dept of Corrections Imperial,CA Dept of Corrections Centinela WWTP,CA7000001,R7-2024-0019.pdf,No,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Ca Dept of Corrections San Luis Obispo,California Men's Colony WWTP,CA0047856,CMC NPDES Order R3-2020-0005 amended for new MRP.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Calaveras Cnty Water District,Forest Meadows WWRP,CA0085278,r5-2024-0067_npdes.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras Cnty Water District,Copper Cove WWRF,CA0084620,r5-2023-0013_npdes.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Calexico City,Calexico City WWTP,CA7000009,R7-2025-0007.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Calipatria City,Calipatria City WWTP,CA0105015,R7-2020-0010.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,R2-2022-0010.pdf,Yes,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,FUTURE,0,PRESENT,0,FUTURE,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Camarillo Sanitary District,Camarillo WRP,,1278_R4-2019-0136_WDR_PKG.pdf,No,0,PRESENT,PRESENT,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Carpinteria SD,Carpinteria SD WWTP,,Revised_CA0047364_Carpinteria.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Castro Valley Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0038849,Order R2-2024-0006.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oro Loma Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0037559,Order R2-2024-0006.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayucos SD,Cayucos SD WWTP,CA3000001,Order R3-2020-0004_final.pdf,No,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Central Contra Costa Sanitary District,Central Contra Costa SD WWTP,CA0037648,R2-2022-0020.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0
Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,CA0038628,Final Order Central Marin Sanitation Agency.pdf,No,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0
Chester PUD,Chester STP,CA0077747,r5-2021-0022_npdes.pdf,No,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico City,Chico Water Pollution Control Plant,CA0079081,r5-2022-0033_npdes.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,FUTURE,0,0,0,FUTURE,0,0,FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0
City of El Paso de Robles,Paso Robles WWTP,,Order R3-2021-0001_final.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0
City of Morro Bay,City of Morro Bay Water Reclamation Facility,CA3000002,7-18-22_MorroBay_finalorder.pdf,No,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
City of Pacifica,Calera Creek Water Recycling Plant,CA0038776,CA0038776 R2-2022-0029 NPDES Permit.pdf,No,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
City of Redding,Clear Creek WWTP,CA0079731,r5-2022-0040_npdes.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0
City of Redding,Stillwater WWTF,CA0082589,r5-2023-0017_npdes.pdf,No,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,FUTURE,FUTURE,PRESENT_AND_FUTURE,0,FUTURE,0,FUTURE,0,0,FUTURE,PRESENT,0,0,0,0,0,0
City of Santa Cruz,Santa Cruz WWTP,CA0048194,R3-2023-0001.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0
Santa Cruz City,Santa Cruz WWTP,,R3-2023-0001.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0
City of Ventura,Ventura WRF,CA0064726,VWRF Adopted NPDES CI-10859.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,FUTURE,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT
Ventura City,Ventura WRF,,VWRF Adopted NPDES CI-10859.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,FUTURE,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT
Cloverdale City,Cloverdale City WWTP,,18_0034_City of Cloverdale_WWTF_NPDES.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Clovis City,Clovis WWTF,CA0085235,r5-2024-0036_npdes.pdf,No,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Coachella SD,Coachella SD WWTP,,R7-2020-0008.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
