Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
PLYMOUTH WPCF,09001110001,,"$637,500",,"$1,687,500",,,,"$2,325,000",1.009,1.75,1.423,"8,093",,"2,831",,"8,093","12,503",,830,,"12,503",CT0100463,Individual Permit,"PLYMOUTH, TOWN OF",Litchfield,Farmington,01080207,5th Congressional District,CT,1,MAP
PORTLAND WPCF,09001130001,,,,,,,,,.741,1,1,"4,050",,"4,682",,"4,050","5,930",,"3,500",,"5,930",CT0101150,Individual Permit,"PORTLAND, TOWN OF",Middlesex,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
PUTNAM W P C F,09001160001,"$11,339,024","$4,824,696",,,,,,"$16,163,720",1.563,2.9,2.9,"7,650",300,"1,352",,"7,950","8,050",300,"1,260",,"8,350",CT0100960,Individual Permit,"PUTNAM, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
REDDING - GEORGETOWN WPCF,09001170002,,,,,,,,,.049,.07,.07,475,,150,,475,625,,50,,625,CT0101770,Individual Permit,GEORGETOWN WPCA,Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
RIDGEFIELD WPCF,09001180001,,,"$975,000",,,,,"$975,000",.6,1,1,"3,641",,"15,396",,"3,641","9,094",,"15,834",,"9,094",CT0100854,Individual Permit,"RIDGEFIELD, TOWN OF",Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
RIDGEFIELD RT7/35 WPCF,09001180002,,,,,,,,,.06,.12,.12,450,,303,,450,750,,453,,750,CT0101451,Individual Permit,"RIDGEFIELD, TOWN OF",Fairfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
SALISBURY WPCF,09001220001,,,"$1,600,220",,,,,"$1,600,220",.45,.67,.67,"2,124",,"1,851",,"2,124","2,955",,"1,036",,"2,955",CT0100498,Individual Permit,"SALISBURY, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
SEYMOUR WPCF,09001240001,"$242,223",,"$44,718","$238,496",,,,"$525,437",1.52,2.94,2.455,"13,420",,"2,034",,"13,420","14,300","4,500","1,290",,"18,800",CT0100501,Individual Permit,"SEYMOUR, TOWN OF",New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
SHARON SEWER SYSTEM,09001250002,"$292,500",,"$1,312,500",,,,,"$1,605,000",.08,.1,.1,303,,404,,303,681,,113,,681,CT0101052,Individual Permit,SHARON WPCA,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
SHELTON WPCF,09001260001,,,"$869,250",,,,,"$869,250",2.428,2.75,2.75,"17,010",,"21,010",,"17,010","20,850",,"19,750",,"20,850",CT0100714,Individual Permit,"SHELTON, CITY OF",Fairfield,Housatonic,01100005,3rd Congressional District,CT,1,MAP
SIMSBURY WPCF,09001280001,,,,,,,,,2.103,4.7,4.7,"6,575","2,013","14,830",,"8,588","29,157","7,511",579,,"36,668",CT0100919,Individual Permit,SIMSBURY SEWER COMM,Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
Southbury WPCF,09001300002,"$5,573,505","$2,388,645",,"$9,930,535",,,,"$17,892,685",,,.13,,,,,,"1,671",,,,"1,671",,,Southbury WPCA,New Haven,Housatonic,01100005,5th Congressional District,CT,1,MAP
SOUTHINGTON WPCF,09001310001,,"$9,058,065",,,,,,"$9,058,065",3.982,7.4,7.4,"17,200",,"22,528",,"17,200","19,000",,"21,610",,"19,000",CT0100536,Individual Permit,"SOUTHINGTON, TOWN OF",Hartford,Quinnipiac,01100004,1st Congressional District,CT,1,MAP
SOUTH WINDSOR WPCF,09001320001,"$20,000,000","$17,000,000",,,,,,"$37,000,000",2.28,3.75,3.75,"13,850",,"10,562",,"13,850","17,500",,"8,160",,"17,500",CT0100510,Individual Permit,"SOUTH WINDSOR, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
SPRAGUE WPCF,09001330001,,"$6,069,122","$334,812",,,,,"$6,403,934",.23,.4,.4,"2,000",,971,,"2,000","2,300",,968,,"2,300",CT0100978,Individual Permit,SPRAGUE TOWN OF,New London,Shetucket,01100002,2nd Congressional District,CT,1,MAP
STAFFORD WPCF,09001340001,"$8,738,173","$2,986,464",,,,,,"$11,724,637",1.216,2,2,"4,450",650,"6,900",,"5,100","6,200","1,300","6,350",,"7,500",CT0101214,Individual Permit,STAFFORD SEWER COMMISSION,Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
STAMFORD WPCF,09001350001,,,,,,,,,22.96,24,24,"61,709","12,139","41,932",,"73,848","71,004","15,000","7,558",,"86,004",CT0101087,Individual Permit,"STAMFORD, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
STONINGTON-MYSTIC WPCF,09001370001,"$8,381,248","$6,285,936",,"$10,214,647",,,,"$24,881,831",.563,.88,.88,"1,820",,"2,730",,"1,820","3,896",,"1,445",,"3,896",CT0100544,Individual Permit,"STONINGTON, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
STONINGTON PAWCATUCK WPCF,09001370002,"$3,247,734","$4,190,624",,"$23,031,670",,,,"$30,470,028",.465,1.31,1.31,"4,323",,"5,664",,"4,323","6,530",,"3,626",,"6,530",CT0101290,Individual Permit,"STONINGTON, TOWN OF",New London,Pawcatuck-Wood,01090005,2nd Congressional District,CT,1,MAP
STONINGTON BOROUGH WPCF,09001370003,"$471,446","$2,357,226",,"$3,428,193",,,,"$6,256,865",.21,.66,.66,"1,618",,"1,739",,"1,618","2,500",,681,,"2,500",CT0101281,Individual Permit,"STONINGTON, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
STRATFORD WPCF,09001380001,,,,,,,,,8.005,11.5,11.5,"48,600",,"1,176",,"48,600","53,032",,"2,386",,"53,032",CT0101036,Individual Permit,"STRATFORD, TOWN OF",Fairfield,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
SUFFIELD WPCF,09001390001,,,,"$315,000",,,,"$315,000",1.2,1.5,1.5,"5,300",,"6,310",,"5,300","6,500",,"5,500",,"6,500",CT0100552,Individual Permit,"SUFFIELD, TOWN OF",Hartford,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
THOMASTON WPCF,09001400001,,,,,,,,,.896,1.38,1.38,"5,000",,"2,503",,"5,000","5,950",,"2,000",,"5,950",CT0100781,Individual Permit,"THOMASTON, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
THOMPSON WPCF,09001410001,"$143,563",,,"$1,665,611",,,,"$1,809,174",.152,1.36,1.36,"2,708",,"6,170",,"2,708","4,200",,"4,850",,"4,200",CT0100706,Individual Permit,Town of THOMPSON WPCA,Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
TORRINGTON MAIN WPCF,09001430001,"$18,060,000","$10,000,000","$4,800,000",,,,,"$32,860,000",5.28,7,7,"26,500",650,"8,702",,"27,150","28,900",800,"9,000",,"29,700",CT0100579,Individual Permit,"TORRINGTON, CITY OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
VERNON WPCF,09001460001,"$931,529","$1,050,000","$634,823","$375,000",,,,"$2,991,352",4.59,7.1,7.1,"27,500","1,210","1,860",,"28,710","30,160","11,047","1,200",,"41,207",CT0100609,Individual Permit,VERNON WPCA,Tolland,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
WALLINGFORD WPCF,09001480001,,,,,,,,,5.364,7.65,7.65,"28,750",,"12,610",,"28,750","33,200",,"11,590",,"33,200",CT0100617,Individual Permit,"WALLINGFORD, TOWN OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
WATERBURY WPCF,09001510001,,,"$40,000,000","$6,584,620",,,,"$46,584,620",21.35,25,25,"94,081","20,467","10,400",,"114,548","99,826","33,095","8,000",,"132,921",CT0100625,Individual Permit,City of WATERBURY WPCA,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
WEST HAVEN WPCF,09001560001,"$25,000,000","$30,000,000",,,,,,"$55,000,000",6.917,12.5,12.5,"51,654",,"2,144",,"51,654","56,300",,"1,510",,"56,300",CT0101079,Individual Permit,"WEST HAVEN, CITY OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
WESTPORT WPCF,09001580001,"$14,657,191","$21,443,373","$1,265,843",,,,,"$37,366,407",1.898,2.65,3.3,"9,500",,"28,849",,"9,500","23,200",,"3,929",,"23,200",CT0100684,Individual Permit,"WESTPORT, TOWN OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
WINSTED WPCF,09001620001,,"$1,111,861",,,,,,"$1,111,861",1.366,3.5,1.531,"9,800",,"1,900",,"9,800","11,570",,"1,200",,"11,570",CT0101222,Individual Permit,"WINCHESTER, TOWN OF",Litchfield,Farmington,01080207,1st Congressional District,CT,1,MAP
WILLIMANTIC WPCF,09001630001,"$13,250,000","$10,000,000",,,,,,"$23,250,000",2.709,5.5,5.5,"19,057",600,"3,800",,"19,657","21,500","1,200","3,750",,"22,700",CT0101001,Individual Permit,WILLIMANTIC SEWER COMM.,Windham,Shetucket,01100002,2nd Congressional District,CT,1,MAP
WINDSOR LOCKS WPCF,09001650001,,,"$1,125,000",,,,,"$1,125,000",1.464,2.12,2.12,"10,543",,"1,500",,"10,543","11,000",,"1,200",,"11,000",CT0101591,Individual Permit,"WINDSOR LOCKS, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
