Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
POQUONOCK STP,09000641002,,,,,"$1,521,600",,,,,,,,,,,,"$1,521,600",,,1.991,5,5,"10,500",450,"19,183",,"10,950",0,10950,"14,500","1,000","19,535",,"15,500",0,15500,CT0100994,Individual Permit,METROPOLITAN DISTRICT,Hartford,Farmington,01080207,1st Congressional District,CT,1,MAP
EAST HARTFORD WPCF,09000641003,,,,,"$2,506,836",,,,,,,,,,,,"$2,506,836",,,5.963,10.5,10.5,"44,000",,"5,575",,"44,000",0,44000,"45,000",,"4,200",,"45,000",0,45000,CT0100170,Individual Permit,METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
ROCKY HILL WPCF,09000641004,,,"$48,000,000",,"$6,200,000",,,,,,,,,,,,"$54,200,000",,,7.09,7.61,6.249,"11,770","22,000","5,080",,"33,770",0,33770,"13,150","23,800","4,500",,"36,950",0,36950,CT0100480,Individual Permit,METROPOLITAN DISTRICT,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
KENT WWTF,09000680001,,,,,,,,,,,,,,,,,,,,.07,.14,.14,925,,"1,985",,925,0,925,"1,005",,"1,965",,"1,005",0,1005,,,"KENT, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
KILLINGLY WPCF,09000690001,,,"$30,500,000",,"$3,500,000",,,,,,,,,,,,"$34,000,000",,,2.721,8,8,"8,240","3,250","8,232",,"11,490",0,11490,"11,280","3,575","6,200",,"14,855",0,14855,CT0101257,Individual Permit,"KILLINGLY, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
LEDYARD HIGHLANDS WPCF,09000720001,,,,,,,,,,,,,,,,,,,,.143,.26,.26,"1,500",,"13,100",,"1,500",0,1500,"1,900",,"18,262",,"1,900",0,1900,CT0101681,Individual Permit,"LEDYARD, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
LITCHFIELD WPCF,09000740001,,,"$2,107,478",,,,,,,,,,,,,,"$2,107,478",,,.478,.77,.77,"6,200",600,"1,500",,"6,800",0,6800,"8,524",800,613,,"9,324",0,9324,CT0100803,Individual Permit,"LITCHFIELD, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
MANCHESTER WPCF,09000770001,,,,,"$2,653,290",,,,,,,,,,,,"$2,653,290",,,6.519,8.2,8.2,"41,000",600,"11,220",,"41,600",0,41600,"45,800","1,160","9,270",,"46,960",0,46960,CT0100293,Individual Permit,MANCHESTER TOWN OF,Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
MERIDEN WPCF,09000800001,,,,,"$2,134,995",,,,,,,,,,,,"$2,134,995",,,9.672,11.6,11.6,"50,449","1,130","7,333",,"51,579",0,51579,"55,400","1,130","5,683",,"56,530",0,56530,CT0100315,Individual Permit,MERIDEN CITY OF,New Haven,Quinnipiac,01100004,5th Congressional District,CT,1,MAP
Middletown WPCF,09000830001,,,,,,,"$23,775,000",,"$2,377,500.00",,,,,,,,"$26,152,500",,,4.523,6.75,,"30,100","1,208","8,037",,"31,308",0,31308,"34,000","1,638","6,000",,"35,638",35638,0,CT0100323,Individual Permit,"MIDDLETOWN, CITY OF",Middlesex,Lower Connecticut,01080205,3rd Congressional District,CT,1,MAP
BEAVER BROOK WPCF,09000840004,,,,,,,,,,,,,,,,,,,,1.911,3.1,3.1,"10,621",,"10,924",,"10,621",0,10621,"15,000",,"4,890",,"15,000",0,15000,CT0100749,Individual Permit,MILFORD TOWN OF,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
MILFORD - HOUSATONIC WPCF,09000840005,,,,,,,,,,,,,,,,,,,,6.827,8.3,5.811,"28,500","1,590","19,058",,"30,090",0,30090,"29,200","4,200","19,250",,"33,400",0,33400,CT0101656,Individual Permit,"MILFORD, TOWN OF",New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
MONTVILLE WPCF,09000860001,,,"$1,672,809",,"$683,769",,"$1,902,000",,,,,,,,,,"$4,258,578",,,2.488,3.4,3.4,"10,446",,"8,100",,"10,446",0,10446,"12,700",,"7,900",,"12,700",0,12700,CT0100935,Individual Permit,"MONTVILLE, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
NAUGATUCK WPCF,09000880001,,,,,,,,,,,,,,,,,,,,4.563,10.3,10.3,"20,658","3,450","10,581",,"24,108",0,24108,"22,000","5,020","1,295",,"27,020",0,27020,CT0100641,Individual Permit,"NAUGATUCK, BOROUGH OF",New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
NEW HARTFORD WPCF,09000920001,,,,,,,"$7,608",,,,,,,,,,"$7,608",,,.089,.4,.4,700,,"5,151",,700,0,700,"2,500",,"4,731",,"2,500",0,2500,CT0100331,Individual Permit,"NEW HARTFORD, TOWN OF",Litchfield,Farmington,01080207,1st Congressional District,CT,1,MAP
NEW HAVEN EAST SHORE WPCF,09000930003,"$99,238,000",,"$45,000,000",,"$65,738,000",,,,"$341,551,000.00",,,,,,,,"$551,527,000",,,30.71,40,40,"122,000","65,888","1,770",,"187,888",0,187888,"131,000","81,292","1,740",,"212,292",0,212292,CT0100366,Individual Permit,"NEW HAVEN, CITY OF",New Haven,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
NEW LONDON WPCF,09000950001,,,,,"$6,847,200",,,,,,,,,,,,"$6,847,200",,,7.978,10,10,"28,668","19,735",501,,"48,403",0,48403,"32,500","29,506",372,,"62,006",0,62006,CT0100382,Individual Permit,"NEW LONDON, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
NEW MILFORD WPCF,09000960001,,,,,,,"$190,200",,,,,,,,,,"$190,200",,,.517,2,2,"4,046",,"15,598",,"4,046",0,4046,"10,461",,"14,547",,"10,461",0,10461,CT0100391,Individual Permit,"MILFORD, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NEWTOWN WPCF,09000970001,,,,,,,,,,,,,,,,,,,,.463,.932,.932,"3,496",,"22,052",,"3,496",0,3496,"4,200",,"23,229",,"4,200",0,4200,CT0101788,Individual Permit,"NEWTOWN, TOWN OF",Fairfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NORFOLK WPCF,09000980001,,,"$836,880",,"$2,092,200",,,,,,,,,,,,"$2,929,080",,,.291,.35,.35,"1,213",,447,,"1,213",0,1213,"1,400",,300,,"1,400",0,1400,CT0101231,Individual Permit,NORFOLK SEWER DISTRICT,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
CANAAN FIRE DISTRICT WPCF,09001000001,,,,,,,,,,,,,,,,,,,,.31,.33,.33,"1,400",,"1,950",,"1,400",0,1400,"2,100",,"1,370",,"2,100",0,2100,CT0100064,Individual Permit,CANAAN FIRE DISTRICT,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
NORTH HAVEN WPCF,09001010001,,,,,,,,,,,,,,,,,,,,2.965,4.57,4.57,"10,722","3,198","12,219",,"13,920",0,13920,"19,614","6,347","3,699",,"25,961",0,25961,CT0100404,Individual Permit,"NORTH HAVEN, TOWN OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
NORWALK WPCF,09001030001,,,"$103,000,000",,,,,,"$22,500,000.00",,,,,,,,"$125,500,000",,,9.07,15,15,"63,935","1,500","16,691",,"65,435",0,65435,"60,328","2,400","2,295",,"62,728",0,62728,CT0101249,Individual Permit,NORWALK WPCF,Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
NORWICH WPCF,09001040001,,,"$94,000,000",,,,,,"$50,000,000.00",,,,,,,,"$144,000,000",,,4.175,8.5,8.5,"25,500",30,"10,530",,"25,530",0,25530,"29,800",30,"8,440",,"29,830",0,29830,CT0100412,Individual Permit,"NORWICH, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
PLAINFIELD NORTH WPCF,09001090001,,,"$45,000,000",,,,,,,,,,,,,,"$45,000,000",,,.68,1.08,2.03,"3,338",400,"4,106",,"3,738",0,3738,"5,115",500,"3,296",,"5,615",0,5615,CT0100439,Individual Permit,"PLAINFIELD, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
PLAINFIELD VILLAGE WPCF,09001090002,,,"$4,755,000",,,,,,,,,,,,,,"$4,755,000",,,.521,.7,.7,"3,641",,"1,830",,"3,641",0,3641,"5,911",,"1,704",,"5,911",0,5911,CT0100447,Individual Permit,"PLAINFIELD, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
PLAINVILLE WPCF,09001100001,,,,,,,,,,,,,,,,,,,,1.76,3.8,3.8,"14,510",,"2,940",,"14,510",0,14510,"15,540",,"2,600",,"15,540",0,15540,CT0100455,Individual Permit,"PLAINVILLE, TOWN OF",Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
PLYMOUTH WPCF,09001110001,,,"$2,215,830",,,,,,,,,,,,,,"$2,215,830",,,1.009,1.75,1.423,"8,093",,"2,831",,"8,093",0,8093,"12,503",,830,,"12,503",0,12503,CT0100463,Individual Permit,"PLYMOUTH, TOWN OF",Litchfield,Farmington,01080207,5th Congressional District,CT,1,MAP
PORTLAND WPCF,09001130001,,,,,,,,,,,,,,,,,,,,.741,1,1,"4,050",,"4,682",,"4,050",0,4050,"5,930",,"3,500",,"5,930",0,5930,CT0101150,Individual Permit,"PORTLAND, TOWN OF",Middlesex,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
PUTNAM W P C F,09001160001,,,,,,,,,,,,,,,,,,,,1.563,2.9,2.9,"7,650",300,"1,352",,"7,950",0,7950,"8,050",300,"1,260",,"8,350",0,8350,CT0100960,Individual Permit,"PUTNAM, TOWN OF",Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
REDDING - GEORGETOWN WPCF,09001170002,,,,,,,,,,,,,,,,,,,,.049,.07,.07,475,,150,,475,0,475,625,,50,,625,0,625,CT0101770,Individual Permit,GEORGETOWN WPCA,Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
RIDGEFIELD WPCF,09001180001,"$608,640",,,,"$2,662,800",,,,,,,,,,,,"$3,271,440",,,.6,1,1,"3,641",,"15,396",,"3,641",0,3641,"9,094",,"15,834",,"9,094",0,9094,CT0100854,Individual Permit,"RIDGEFIELD, TOWN OF",Fairfield,Long Island Sound,01100007,4th Congressional District,CT,1,MAP
RIDGEFIELD RT7/35 WPCF,09001180002,,,,,,,,,,,,,,,,,,,,.06,.12,.12,450,,303,,450,0,450,750,,453,,750,0,750,CT0101451,Individual Permit,"RIDGEFIELD, TOWN OF",Fairfield,Housatonic,01100005,4th Congressional District,CT,1,MAP
SALISBURY WPCF,09001220001,,,,,"$543,653",,,,,,,,,,,,"$543,653",,,.45,.67,.67,"2,124",,"1,851",,"2,124",0,2124,"2,955",,"1,036",,"2,955",0,2955,CT0100498,Individual Permit,"SALISBURY, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
SEYMOUR WPCF,09001240001,,,,,,,,,,,,,,,,,,,,1.52,2.94,2.455,"13,420",,"2,034",,"13,420",0,13420,"14,300","4,500","1,290",,"18,800",0,18800,CT0100501,Individual Permit,"SEYMOUR, TOWN OF",New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
SHARON SEWER SYSTEM,09001250002,,,,,,,,,,,,,,,,,,,,.08,.1,.1,303,,404,,303,0,303,681,,113,,681,0,681,CT0101052,Individual Permit,SHARON WPCA,Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
SHELTON WPCF,09001260001,,,,,"$760,800",,,,,,,,,,,,"$760,800",,,2.428,2.75,2.75,"17,010",,"21,010",,"17,010",0,17010,"20,850",,"19,750",,"20,850",0,20850,CT0100714,Individual Permit,"SHELTON, CITY OF",Fairfield,Housatonic,01100005,3rd Congressional District,CT,1,MAP
SIMSBURY WPCF,09001280001,,,,,,,,,,,,,,,,,,,,2.103,3.8,3.8,"6,575","2,713","14,830",,"9,288",0,9288,"29,157","7,511",579,,"36,668",0,36668,CT0100919,Individual Permit,SIMSBURY SEWER COMM,Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
SOUTHINGTON WPCF,09001310001,,,"$9,770,591",,,,,,,,,,,,,,"$9,770,591",,,3.982,7.4,7.4,"25,615",,"16,906",,"25,615",0,25615,"27,000",,"17,608",,"27,000",0,27000,CT0100536,Individual Permit,"SOUTHINGTON, TOWN OF",Hartford,Quinnipiac,01100004,1st Congressional District,CT,1,MAP
SOUTH WINDSOR WPCF,09001320001,,,,,,,,,,,,,,,,,,,,2.28,3.75,3.75,"13,850",,"10,562",,"13,850",0,13850,"17,500",,"8,160",,"17,500",0,17500,CT0100510,Individual Permit,"SOUTH WINDSOR, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
SPRAGUE WPCF,09001330001,,,"$9,700,200",,"$2,439,315",,,,,,,,,,,,"$12,139,515",,,.23,.4,.4,"2,000",,971,,"2,000",0,2000,"2,300",,968,,"2,300",0,2300,CT0100978,Individual Permit,SPRAGUE TOWN OF,New London,Shetucket,01100002,2nd Congressional District,CT,1,MAP
STAFFORD WPCF,09001340001,,,,,,,,,,,,,,,,,,,,1.216,2,2,"4,450","1,200","6,900",,"5,650",0,5650,"6,200","1,300","6,350",,"7,500",0,7500,CT0101214,Individual Permit,STAFFORD SEWER COMMISSION,Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
STAMFORD WPCF,09001350001,"$5,332,257",,,,,,,,,,,,,,,,"$5,332,257",,,22.96,24,24,"61,709","12,139","41,932",,"73,848",0,73848,"71,004","15,000","7,558",,"86,004",0,86004,CT0101087,Individual Permit,"STAMFORD, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
STONINGTON-MYSTIC WPCF,09001370001,"$9,040,535",,"$6,780,401",,,,"$11,018,151",,,,,,,,,,"$26,839,087",,,.563,.88,.88,"1,820",,"2,730",,"1,820",0,1820,"3,896",,"1,445",,"3,896",0,3896,CT0100544,Individual Permit,"STONINGTON, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
STONINGTON PAWCATUCK WPCF,09001370002,"$3,683,709",,"$4,753,173",,,,"$26,123,438",,,,,,,,"$4,637,908",,"$34,560,320",,"$4,637,908",.465,1.31,1.31,"4,323",,"5,664",,"4,323",0,4323,"6,530",,"3,626",,"6,530",0,6530,CT0101290,Individual Permit,"STONINGTON, TOWN OF",New London,Pawcatuck-Wood,01090005,2nd Congressional District,CT,1,MAP
STONINGTON BOROUGH WPCF,09001370003,"$678,040",,"$3,390,201",,,,"$4,930,481",,,,,,,,,,"$8,998,722",,,.21,.66,.66,"1,900",,"1,240",,"1,900",0,1900,"2,500",,682,,"2,500",0,2500,CT0101281,Individual Permit,"STONINGTON, TOWN OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
STRATFORD WPCF,09001380001,,,,,,,,,,,,,,,,,,,,8.005,11.5,11.5,"48,600",,"1,176",,"48,600",0,48600,"53,032",,"2,386",,"53,032",0,53032,CT0101036,Individual Permit,"STRATFORD, TOWN OF",Fairfield,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
SUFFIELD WPCF,09001390001,,,,,,,,,,,,,,,,,,,,1.2,1.5,1.5,"5,300",,"6,310",,"5,300",0,5300,"6,500",,"5,500",,"6,500",0,6500,CT0100552,Individual Permit,"SUFFIELD, TOWN OF",Hartford,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
THOMASTON WPCF,09001400001,,,"$1,448,836",,,,,,,,,,,,,,"$1,448,836",,,.896,1.38,1.38,"5,000",,"2,503",,"5,000",0,5000,"5,950",,"2,000",,"5,950",0,5950,CT0100781,Individual Permit,"THOMASTON, TOWN OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
THOMPSON WPCF,09001410001,,,"$312,939",,,,"$5,977,035",,,,,,,,,,"$6,289,974",,,.152,1.36,1.36,"2,708",,"6,170",,"2,708",0,2708,"4,200",,"4,850",,"4,200",0,4200,CT0100706,Individual Permit,Town of THOMPSON WPCA,Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
TORRINGTON MAIN WPCF,09001430001,,,"$26,500,000",,"$7,000,000",,,,,,,,,,,,"$33,500,000",,,5.28,7,7,"26,500",650,"8,702",,"27,150",0,27150,"28,900",800,"9,000",,"29,700",0,29700,CT0100579,Individual Permit,"TORRINGTON, CITY OF",Litchfield,Housatonic,01100005,5th Congressional District,CT,1,MAP
