Organization Name,Facility Name,CWNS_NUM,City,State,Application,SIC4,NAICS,OpYear,Latest Install Year,Capacity (kW),Prime Mover,Fuel Class - Prim Fuel,Last Verified,Project Profile Link,Microgrid,Critical Infrastructure,EPA Award Winner,BIOGAS_DOE_2012,BIOGAS_DOE_2022,BIOGAS_DOE_PROJ
City of San Diego,Point Loma Waste Water Treatment Plant,06009031001,Point Loma Peninsula,CA, Wastewater Treatment,4952,22132,2011,2011,300,Fuel Cell,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Inland Empire Utilities Agency,Inland Empire Utilities Agency,,Chino,CA, Wastewater Treatment,4952,22132,2010,2010,2800,Fuel Cell,RENEWABLE - Digester Gas,2021,,X,X,,1,1,1
City of Bakersfield,Wastewater Treatment 3,6005010002,Bakersfield,CA, Wastewater Treatment,4952,22132,2010,2010,1762,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,1,1,1
CA SGIP,Wastewater Treatment Plant,6002125001,San Leandro,CA, Wastewater Treatment,4952,221320,2010,2010,330,Reciprocating Engine,RENEWABLE - Digester Gas,2024,,,X,,1,1,1
City of Santa Cruz,Wastewater Treatment Facility,6003010001,Santa Cruz,CA, Wastewater Treatment,4952,22131,2009,2009,1320,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,1,1,1
Calpwr / City of Oceanside,San Luis Rey Wastewater Treatment Plant,6009041002,Oceanside,CA, Wastewater Treatment,4952,22132,2009,2009,560,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Eastern Municipal Water District,Moreno Valley Regional Water Reclamation Facility (RWRF),6008006002,Perris,CA, Wastewater Treatment,4952,22132,2001,2009,850,Fuel Cell,RENEWABLE - Digester Gas,2018,https://chptap.ornl.gov/profile/66/EMWD-Project_Profile.pdf,,X,,1,1,1
Encina Wastewater Authority,Encina Water Pollution Control Facility,6009011001,Carlsbad,CA, Wastewater Treatment,4952,22132,2008,2008,3200,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
City of Rialto,Rialto Wastewater Treatment Plant,6008052001,Rialto,CA, Wastewater Treatment,4952,22132,2007,2007,900,Fuel Cell,RENEWABLE - Digester Gas,2008,,,X,,1,1,1
Dublin San Ramon Services District,Dublin San Ramon Waste Water Treatment Plant,6002006001,Pleasanton,CA, Wastewater Treatment,4952,22132,2007,2007,600,Fuel Cell,RENEWABLE - Digester Gas,2010,,,X,,1,1,1
City of Millbrae,Millbrae Wastewater Treatment Plant WWTP,6002039001,Millbrae,CA, Wastewater Treatment,4952,22132,2006,2006,250,Microturbine,RENEWABLE - Digester Gas,2009,,,X,,1,1,1
City of Burlingame,Burlingame Wastewater Treatment Plant,6002011001,Burlingame,CA, Wastewater Treatment,4952,22132,2006,2006,177,Reciprocating Engine,RENEWABLE - Digester Gas,2017,https://chptap.ornl.gov/profile/28/burlingame-wastewater-treatment-Project_Profile.pdf,,X,,1,1,1
San Bernardino Water Dept.,Wastewater Treatment Facility,6003010001,San Bernardino,CA, Wastewater Treatment,4952,22131,2005,2005,1500,Reciprocating Engine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
Los Angeles County Sanitation Districts,Lancaster Water Reclamation Plant,6004009009,Lancaster,CA, Wastewater Treatment,4952,22132,2005,2005,250,Microturbine,RENEWABLE - Digester Gas,2009,,,X,,1,1,1
Wastewater Treatment Plant,Wastewater Treatment Plant,6002125001,Carmel,CA, Wastewater Treatment,4952,22132,2005,2005,60,Microturbine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
City of Salinas,Salinas Industrial Wastewater Treatment Plant,06003029002,Salinas,CA, Wastewater Treatment,4952,22132,2005,2005,60,Microturbine,RENEWABLE - Digester Gas,2005,,,X,,1,1,1
Capstone Turbine Corporation,North of the River Sanitary District,06000000165,Shafter,CA, Wastewater Treatment,4952,22132,2004,2004,90,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of Redlands,Wastewater Treatment Facility,6003010001,Redlands,CA, Wastewater Treatment,4952,22131,2003,2003,1250,Reciprocating Engine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
LA Sanitation District - Total Energy Facility,Joint Water Pollution Control Plant,6004009001,Carson,CA, Wastewater Treatment,4952,22132,1986,2003,29700,Combustion Turbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Las Virgenes Municipal Water District / CHP Clean Energy,Las Virgenes Municipal Water District,6004026001,Calabasas,CA, Wastewater Treatment,4952,22132,2001,2001,400,Reciprocating Engine,RENEWABLE - Digester Gas,2004,,,X,,1,1,1
City of Stockton MUD,Regional Wastewater Control Facility,6005025001,Stockton,CA, Wastewater Treatment,4952,22131,2000,2000,3000,Reciprocating Engine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
City of San Diego,Metropolitan Biosolids Center,,San Diego,CA, Wastewater Treatment,4952,22132,1997,1997,6400,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,1,1,1
City of San Diego,North City Water Reclamation Plant,6009031002,San Diego,CA, Wastewater Treatment,4952,22132,1997,1997,3800,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,1,1,1
Orange County Sanitation District,Treatment Plant No. 2,6008022002,Huntington Beach,CA, Wastewater Treatment,4952,22132,1993,1993,13500,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,1,1,1
Orange County Sanitation District,Reclamation Plant No. 1,6008022001,Fountain Valley,CA, Wastewater Treatment,4952,22132,1993,1993,7200,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Monterey Regional Water Pollution Control,Monterey Regional Water Pollution Control,6003012001,Marina,CA, Wastewater Treatment,4952,22132,1988,1988,1800,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
East Bay Municipal Utility District (EBMUD),Special District 1 WWTP Power Generation Station,,Oakland,CA, Wastewater Treatment,4952,22131,1985,1985,11000,Reciprocating Engine,RENEWABLE - Digester Gas,2022,https://chptap.ornl.gov/profile/62/ebmud-wwtp.pdf,,X,,1,1,1
City of San Diego,Gas Utilization Facility - Pt. Loma Sewage Plant,6009031001,San Diego,CA, Wastewater Treatment,4952,22132,1985,1985,4600,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
City of Oxnard,Oxnard Wastewater Treatment Plant,6004027001,Oxnard,CA, Wastewater Treatment,4952,22132,1981,1981,1200,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
City of Bakersfield,Wastewater Treatment 2,6005010001,Bakersfield,CA, Wastewater Treatment,4952,22132,,,800,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,,,1
City of Boulder,75th Street Wastewater Treatment Facility,8000034003,Boulder,CO, Wastewater Treatment,4952,562212,2021,2021,700,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,,1,1
City of Durango,Santa Rita Water Reclamation Center,,Durango,CO, Wastewater Treatment,4952,22131,2009,2019,195,Microturbine,RENEWABLE - Digester Gas,2020,https://chptap.ornl.gov/profile/300/SantaRita-Project_Profile.pdf,,X,,1,1,1
City of Brighton,Brighton Water Treatment Plant,8209000130,Brighton,CO, Wastewater Treatment,4952,22132,2015,2015,370,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
ENGIE North America / Metro Wastewater Reclamation District,Metro Water Recovery,8000070001,Denver,CO, Wastewater Treatment,4952,22132,1985,2000,6200,Combustion Turbine,RENEWABLE - Digester Gas,2024,https://chptap.ornl.gov/profile/56/Metro_Water_Recovery-Project_Profile.pdf,,X,,1,1,1
Littleton-Englewood Wastewater Treatment Plant,Littleton-Englewood WWTP,8000121001,Littleton,CO, Wastewater Treatment,4952,22132,1999,1999,900,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
"2G Energy, Bridgeport Water Pollution Control Authority (WPCA)",Bridgeport Water Pollution Control Authority (WPCA),9000150001,Bridgeport,CT, Wastewater Treatment,4952,22132,2015,2015,1600,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
Wastewater Treatment Plant,Wastewater Treatment Plant,6002125001,Norwich,CT, Wastewater Treatment,4952,221132,2012,2012,130,Microturbine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Greater New Haven Water Treatment,Greater New Haven Water Treatment Plant,9000930003,New Haven,CT, Wastewater Treatment,4952,22132,2008,2008,750,Reciprocating Engine,RENEWABLE - Digester Gas,2008,,,X,,1,1,1
Wastewater Treatment Plant,Wastewater Treatment Plant,6002125001,Bridgeport,CT, Wastewater Treatment,4952,22132,2005,2005,200,Fuel Cell,RENEWABLE - Digester Gas,2005,,,X,,1,1,1
Pepco Energy Services / DC Water,Blue Plains Advanced Wastewater Treatment Plant,11000001001,Washington,DC, Wastewater Treatment,4952,22132,2015,2015,13500,Combustion Turbine,RENEWABLE - Digester Gas,2020,https://chptap.ornl.gov/profile/355/BluePlains-Project_Profile.pdf,,X,,,1,1
Honeywell International / City of Wilmington / Cummins Power Generation,Wilmington Wastewater Treatment Plant - Hay Road,10000027001,Wilmington,DE, Wastewater Treatment,4952,22132,2015,2015,4000,Reciprocating Engine,RENEWABLE - Digester Gas,2024,,X,X,,,1,1
"City of St. Petersburg, FL",Southwest Biosolids and Waste to Energy Project,12000073001,St Petersburg,FL, Wastewater Treatment,4952,22132,2019,2019,1650,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
Broward County/Opterra,Broward County WWTP,12000001001,Pompano Beach,FL, Wastewater Treatment,4952,22132,2016,2016,1900,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Miami Dade Water & Sewer Auth,South District WWTP,12000017028,Miami,FL, Wastewater Treatment,4952,22132,2014,2014,8000,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Miami Dade Water & Sewer Auth,Central District WWTP,12000017004,Miami,FL, Wastewater Treatment,4952,22132,2013,2013,2400,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
City of Clearwater,Clearwater Wastewater Treatment Plant,12000065002,Clearwater,FL, Wastewater Treatment,4952,22132,2013,2013,335,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
Tampa Dept of Sanitary Sewers,City of Tampa Howard F Curren Water Treatment Plant,12000053001,Tampa,FL, Wastewater Treatment,4952,22132,1987,1987,2500,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
R.M. Clayton Wastewater Treatment Plant,R.M. Clayton Wastewater Treatment Plant,13000012004,Atlanta,GA, Wastewater Treatment,4952,22132,2013,2013,1600,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,,1,1
Gwinnett County F. Wayne Hill Water Resources Center,Gwinnett County F. Wayne Hill Water Resources Center,13000040004,Buford,GA, Wastewater Treatment,4952,22132,2011,2011,2100,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Columbus Water Works,South Columbus Water Resource Facility,13000051001,Columbus,GA, Wastewater Treatment,4952,22132,2009,2009,3500,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Des Moines Metro Wastewater Reclamation Authority,WRA Wastewater Treatment Facility,19000226001,Des Moines,IA, Wastewater Treatment,4952,22132,2015,2015,2800,Reciprocating Engine,RENEWABLE - Digester Gas,2018,https://chptap.ornl.gov/profile/57/DesMoinesWastewaterReclamationAuthority-Project_Profile.pdf,,X,,,1,1
City of Davenport,Davenport Water Pollution Control Plant,19000208001,Davenport,IA, Wastewater Treatment,4952,22132,1995,1995,1600,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Sandpoint Wastewater Treatment Facility,Sandpoint WWTF,16000063001,Sandpoint,ID, Wastewater Treatment,4952,22132,2012,2012,65,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Pocatello Wastewater Treatment Facility,Pocatello WWTF,16000001001,Pocatello,ID, Wastewater Treatment,4952,221320,1985,1985,460,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Danville Sanitary District,Danville WWTF,17000002001,Danville,IL, Wastewater Treatment,4952,22132,2023,2023,190,Reciprocating Engine,RENEWABLE - Digester Gas,2024,https://chptap.ornl.gov/profile/53/Danville-Project_Profile.pdf,,X,,,,1
Kishwaukee Water Reclamation District,Kishwaukee Wastewater Treatment Plant,17000000025,DeKalb,IL, Wastewater Treatment,4952,22132,2020,2022,750,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/460/Kishwaukee_Water_Reclamation_District-Project_Profile.pdf,,X,,,1,1
Downers Grove Sanitary District,Downers Grove Sanitary District,17000716001,Downers Grove,IL, Wastewater Treatment,4952,22132,2017,2021,750,Reciprocating Engine,RENEWABLE - Digester Gas,2022,https://chptap.ornl.gov/profile/58/DownersGrove-Project_Profile.pdf,,X,,,1,1
Glenbard Wastewater Authority,Wastewater Treatment Plant,6002125001,Glen Ellyn,IL, Wastewater Treatment,4952,22132,2016,2016,750,Reciprocating Engine,RENEWABLE - Digester Gas,2021,https://chptap.ornl.gov/profile/359/Glenbard-Project_Profile.pdf,,X,,,1,1
Kankakee River Metropolitan Agency (KRMA),KRMA Wastewater Treatment Plant,17000073001,Kankakee,IL, Wastewater Treatment,4952,22132,2015,2015,450,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
City of Rock Island,Mill Street Wastewater Treatment Plant,17000343001,Rock Island,IL, Wastewater Treatment,4952,22132,2014,2014,1000,Reciprocating Engine,RENEWABLE - Digester Gas,2015,,,X,,,1,1
Four Rivers Sanitation Authority,Kishwaukee CHP Plant,,Rockford,IL, Wastewater Treatment,4952,22132,2010,2010,3000,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Rock River Water Reclamation District,Rock River Water Reclamation District,17000347001,Rockford,IL, Wastewater Treatment,4952,22132,2003,2003,3150,Reciprocating Engine,RENEWABLE - Digester Gas,2007,,,X,,1,1,1
Marion Municipal Utilities,Marion Wastewater Treatment Plant,18002140001,Marion,IN, Wastewater Treatment,4952,22132,2016,2016,225,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
City of Fort Wayne,Paul L. Bruner Water Pollution Control Plant,18000225001,Fort Wayne,IN, Wastewater Treatment,4952,22132,2015,2015,800,Reciprocating Engine,RENEWABLE - Digester Gas,2024,https://chptap.ornl.gov/profile/179/Paul_L_Bruner_Water_Pollution_Control_Plant-Project_Profile.pdf,,X,,,1,1
Evansville Water and Sewer Utility,East Wastewater Treatment Plant,18000851001,Evansville,IN, Wastewater Treatment,4952,22132,2015,2015,460,Reciprocating Engine,RENEWABLE - Digester Gas,2021,,,X,,,1,1
West Lafayette Wastewater Treatment Facility,West Lafayette Wastewater Treatment Facility,18000604001,West Lafayette,IN, Wastewater Treatment,4952,22132,2009,2009,130,Microturbine,RENEWABLE - Digester Gas,2009,,,X,,1,1,1
Johnson County Wastewater,Douglas L. Smith Middle Basin WWTP,20000498007,Overland Park,KS, Wastewater Treatment,4952,22132,2009,2009,2000,Boiler/Steam Turbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Greater Lawrence Sanitary District,Greater Lawrence Sanitary District,25000035001,North Andover,MA, Wastewater Treatment,4952,22132,2019,2019,3200,Reciprocating Engine,RENEWABLE - Digester Gas,2022,https://chptap.ornl.gov/profile/452/Greater_Lawrence_Sanitary_District-Project_Profile.pdf,,X,,,1,1
Capstone Turbine Corporation,Plymouth Wastewater Treatment Plant,25000016001,Plymouth,MA, Wastewater Treatment,4952,22132,2014,2014,130,Microturbine,RENEWABLE - Digester Gas,2015,,,X,,,1,1
SourceOne,Wastewater Treatment Facility,6003010001,Winthrop,MA, Wastewater Treatment,4952,221132,2012,2012,1100,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Pittsfield Wastewater Treatment Plant,Pittsfield WWTP,25000041001,Pittsfield,MA, Wastewater Treatment,4952,221132,2012,2012,195,Microturbine,RENEWABLE - Digester Gas,2020,,,X,,1,1,1
Town of Fairhaven,Fairhaven Digester & Cogen Facility,25000028001,Fairhaven,MA, Wastewater Treatment,4952,22132,2012,2012,100,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
Massachusetts Water Resources Authority,Deer Island,25000128001,Winthrop,MA, Wastewater Treatment,4952,22132,1998,2011,31300,Boiler/Steam Turbine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
St. Mary's County Metropolitan Commission,Marlay Taylor Water Reclamation Facility,24000063001,Lexington Park,MD, Wastewater Treatment,4952,22132,2011,2011,360,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
Back River Wastewater Treatment Plant,Back River WWTP,24000001001,Baltimore,MD, Wastewater Treatment,4952,22132,2008,2008,3000,Reciprocating Engine,RENEWABLE - Digester Gas,2008,,,X,,1,1,1
Lewiston Auburn Water Pollution Control Authority,Lewiston Auburn Wastewater Treatment Plant,23000011001,Lewiston,ME, Wastewater Treatment,4952,22132,2013,2013,460,Reciprocating Engine,RENEWABLE - Digester Gas,2017,https://chptap.ornl.gov/profile/275/LAWPCA-Project_Profile.pdf,,X,,,1,1
Kinross Charter Township,Kinross Charter Township Wastewater Treatment Plant,,Kincheloe,MI, Wastewater Treatment,4952,22132,2019,2019,200,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
City of Marquette,City of Marquette Wastewater Treatment Plant,26002014001,Marquette,MI, Wastewater Treatment,4952,22132,2019,2019,200,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
City of Flint / BioWorks Energy,Flint Water Pollution Control Facility,26000411001,Flint,MI, Wastewater Treatment,4952,22132,2015,2015,200,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Delhi Charter Township,Delhi Wastewater Treatment Plant,26000054001,Holt,MI, Wastewater Treatment,4952,22132,2009,2009,60,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of St. Cloud,St. Cloud Wastewater Treatment Facility (WWTF),27000045001,St. Cloud,MN, Wastewater Treatment,4952,22132,2016,2020,1266,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/477/St_Cloud_Nutrient_Energy_and_Water_Recovery_Facility-Project_Profile.pdf,X,X,,,1,1
Winona Wastewater Treatment Facility,Winona Wastewater Treatment Facility,27000055001,Winona,MN, Wastewater Treatment,4952,22132,2009,2009,65,Microturbine,RENEWABLE - Digester Gas,2009,,,X,,1,1,1
Rochester Wastewater Reclamation Plant,Rochester WWTP,27000043001,Rochester,MN, Wastewater Treatment,4952,22132,2007,2007,2000,Reciprocating Engine,RENEWABLE - Digester Gas,2021,https://chptap.ornl.gov/profile/191/RochesterWWT-Project_Profile.pdf,,X,,1,1,1
Metropolitan Council / Von Roll Inc.,Metro Plant,27000001001,St. Paul,MN, Wastewater Treatment,4952,22132,2005,2005,5000,Boiler/Steam Turbine,RENEWABLE - Digester Gas,2005,,,X,,1,1,1
City of Albert Lea,Albert Lea Wastewater Treatment Plant,27000003001,Albert Lea,MN, Wastewater Treatment,4952,22132,2003,2003,120,Microturbine,RENEWABLE - Digester Gas,2013,https://chptap.ornl.gov/profile/8/Albert_Lea_WWT_Facility-Project_Profile.pdf,,X,,1,1,1
City of Springfield,Southwest Wastewater Treatment Plant,29001026001,Springfield,MO, Wastewater Treatment,4952,22132,2019,2019,2400,Reciprocating Engine,RENEWABLE - Digester Gas,2020,https://chptap.ornl.gov/profile/273/SouthwestWWTP-Project_Profile.pdf,,X,,,1,1
City of Missoula / Highland West Energy,Missoula Wastewater Treatment Facility,30000047001,Missoula,MT, Wastewater Treatment,4952,22132,2018,2018,220,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,,1,1
City of Winston-Salem / Forsyth County Utilities,Muddy Creek WWTP,37001301003,Winston-Salem,NC, Wastewater Treatment,4952,22132,2017,2017,1137,Reciprocating Engine,RENEWABLE - Digester Gas,2021,,,X,,,1,1
Charlotte-Mecklenburg County / Charlotte Water,McAlpine Creek Waste Water Treatment Plant,37006001002,Pineville,NC, Wastewater Treatment,4952,22132,2017,2017,1000,Reciprocating Engine,RENEWABLE - Digester Gas,2018,https://chptap.ornl.gov/profile/126/McAlpineWWTP-Project_Profile.pdf,,X,,,1,1
City of Omaha,Missouri River Wastewater Treatment Plant,31001825001,Omaha,NE, Wastewater Treatment,4952,22132,1985,2001,2850,Reciprocating Engine,RENEWABLE - Digester Gas,2014,https://chptap.ornl.gov/profile/132/MissouriRiver-Project_Profile1.pdf,,X,,1,1,1
"Lincoln Wastewater, Division of Public Works",Theresa Street Utilities,31001425001,Lincoln,NE, Wastewater Treatment,4952,22132,1992,1992,900,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
