FACILITY_UNIT_PROCESS_ID,CWNS_ID,FACILITY_ID,STATE_CODE,INFRASTRUCTURE_TYPE,TREATMENT_TYPE,UNIT_PROCESS,EXISTING_FLAG,PLANNED_FLAG,UNIT_PROCESS_NOTES
4463,23000107001,1142546,ME,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
7210,12000001055,457111,FL,Stormwater,Gray infrastructure,Gray stormwater conveyance,Y,,
7453,28000110002,1160200,MS,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5409,12000383006,3507945,FL,Wastewater,Disinfection,Advanced oxidation process (AOP),Y,,
5410,12000383006,3507945,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
3266,04001903002,1069550,AZ,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
7083,12000001049,1078121,FL,Stormwater,Gray infrastructure,Gray stormwater conveyance,Y,,
5214,12000303001,1078410,FL,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
5213,12000303001,1078410,FL,Wastewater,Preliminary treatment,Screening,Y,,
5215,12000303001,1078410,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
58,17000721001,1113995,IL,Wastewater,Solids handling,Biosolids Anaerobic Digestion with Energy Recovery,Y,,
57,17000721001,1113995,IL,Wastewater,Nutrient Removal and additional treatment,Chemical P Removal,Y,,
1345,29001036001,1133315,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1347,29001036001,1133315,MO,Wastewater,Preliminary treatment,Flow Equalization,Y,,
1348,29001036001,1133315,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,oxidation ditch
1349,29001036001,1133315,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
269,29001045001,1133326,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
268,29001045001,1133326,MO,Wastewater,Preliminary treatment,Screening,Y,,
270,29001045001,1133326,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1010,29001069001,1133351,MO,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
1009,29001069001,1133351,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
815,29002041001,1133652,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
6920,21000174001,1139615,KY,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
6921,21000174001,1139615,KY,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
6919,21000174001,1139615,KY,Wastewater,Disinfection,"Disinfection, other chemical",Y,,PAA
5631,25000166001,1092448,MA,Wastewater,Disinfection,"Disinfection, other chemical",Y,,Emergency high flow use of Hydrogen Peroxide to enhance UV
5632,25000166001,1092448,MA,Wastewater,Full Advanced Treatment for Potable Reuse,Microfiltration (MF),Y,,Membrane Filtration Activated Sludge
5635,25000166001,1092448,MA,Wastewater,Preliminary treatment,Screening,Y,,Channel Grinder followed by screening and grit removal
5634,25000166001,1092448,MA,Wastewater,Nutrient Removal and additional treatment,Filtration,Y,,Membrane Filtration Activated Sludge (side benefit)
5630,25000166001,1092448,MA,Wastewater,Disinfection,"Disinfection, UV",Y,,"Dual Bank in series, 100% redundancy"
5637,25000166001,1092448,MA,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,Membrane Filtration Activated Sludge (side benefit)
5638,25000166001,1092448,MA,Wastewater,Solids handling,Biosolids Thickening,Y,,Sieve Drum Thickener of WAS
5636,25000166001,1092448,MA,Wastewater,Secondary treatment,Microfiltration (MF),Y,,Membrane Filtration Activated Sludge
5633,25000166001,1092448,MA,Wastewater,Nutrient Removal and additional treatment,Biological N removal,Y,,Anoxic Tank Recycle for Denitrification and TN reduction
6682,21000292001,1235514,KY,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
6683,21000292001,1235514,KY,Wastewater,Solids handling,Biosolids Thickening,Y,,
6681,21000292001,1235514,KY,Wastewater,Disinfection,"Disinfection, UV",Y,,
3705,51001400077,3109090,VA,Wastewater,Nutrient Removal and additional treatment,Biological N removal,Y,,
3708,51001400077,3109090,VA,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
3707,51001400077,3109090,VA,Wastewater,Preliminary treatment,Screening,Y,,
3711,51001400077,3109090,VA,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
3704,51001400077,3109090,VA,Wastewater,Disinfection,"Disinfection, UV",Y,,
3710,51001400077,3109090,VA,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
3709,51001400077,3109090,VA,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
3706,51001400077,3109090,VA,Wastewater,Preliminary treatment,Flow Equalization,Y,,
3712,51001400077,3109090,VA,Wastewater,Solids handling,Biosolids Thickening,Y,,
1473,29002211006,3530636,MO,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
1474,29002211006,3530636,MO,Wastewater,Disinfection,Dechlorination,Y,,
1475,29002211006,3530636,MO,Wastewater,Secondary treatment,"Attached Growth, Aerobic",Y,,
3925,29002211006,3530636,MO,Wastewater,Secondary treatment,"Lagoon, Aerated",,Y,Nitrox system
3926,29002211006,3530636,MO,Wastewater,Preliminary treatment,Screening,,Y,
2596,29001239105,3536857,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
2597,29001239105,3536857,MO,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
2595,29001239105,3536857,MO,Wastewater,Preliminary treatment,Screening,Y,,
4422,12000148001,1078304,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
4421,12000148001,1078304,FL,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
4419,12000148001,1078304,FL,Wastewater,Preliminary treatment,Screening,Y,,
4420,12000148001,1078304,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
4423,12000148001,1078304,FL,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
2798,54004202001,1095207,WV,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,Oxidation Ditch WWTP
3425,48001007001,1182876,TX,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,stabilization ponds
1821,29002483001,1233263,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
2825,29002483001,1233263,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
2826,29002483001,1233263,MO,Wastewater,Secondary treatment,"Attached Growth, Aerobic",Y,,MBBR
1049,29003083001,1233271,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1050,29003083001,1233271,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
1051,29003083001,1233271,MO,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,Belt press
1048,29003083001,1233271,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,Oxidation ditch
5155,12000003001,2805300,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5156,12000003001,2805300,FL,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
5153,12000003001,2805300,FL,Wastewater,Preliminary treatment,Screening,Y,,
5154,12000003001,2805300,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
2238,29001018050,3157408,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
2235,29001018050,3157408,MO,Wastewater,Preliminary treatment,Screening,Y,,
2237,29001018050,3157408,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
2236,29001018050,3157408,MO,Wastewater,Secondary treatment,"Activated Sludge, Extended Aeration",Y,,Extended aeration
741,29002379001,3167568,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
4111,12000700006,3500144,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4141,12000700031,3500421,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4200,12000701024,3501048,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
2680,29002214013,3537396,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
2678,29002214013,3537396,MO,Wastewater,Preliminary treatment,Screening,Y,,
2679,29002214013,3537396,MO,Wastewater,Secondary treatment,"Activated Sludge, Extended Aeration",Y,,Extended aeration
2681,29002214013,3537396,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
3520,04001343003,1069474,AZ,Wastewater,Disinfection,"Disinfection, UV",Y,,
3232,04001903001,1069549,AZ,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
7803,04002302001,1069598,AZ,Wastewater,Disinfection,Dechlorination,Y,,
4441,12000053001,1078173,FL,Wastewater,Preliminary treatment,Screening,Y,,
4446,12000053001,1078173,FL,Wastewater,Disinfection,Dechlorination,Y,,
4445,12000053001,1078173,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
4449,12000053001,1078173,FL,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
4442,12000053001,1078173,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
4443,12000053001,1078173,FL,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
4448,12000053001,1078173,FL,Wastewater,Solids handling,Biosolids Anaerobic Digestion without Energy Recovery,Y,,
4447,12000053001,1078173,FL,Wastewater,Solids handling,Biosolids Thickening,Y,,
4450,12000053001,1078173,FL,Wastewater,Solids handling,Biosolids Drying,Y,,
4444,12000053001,1078173,FL,Wastewater,Nutrient Removal and additional treatment,Filtration,Y,,
4630,12000124001,1078269,FL,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
4628,12000124001,1078269,FL,Wastewater,Preliminary treatment,Screening,Y,,
4633,12000124001,1078269,FL,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
4629,12000124001,1078269,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
4632,12000124001,1078269,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
4631,12000124001,1078269,FL,Wastewater,Nutrient Removal and additional treatment,Filtration,Y,,
4634,12000124001,1078269,FL,Wastewater,Solids handling,Biosolids Thickening,Y,,
5318,12000379002,1078428,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5314,12000379002,1078428,FL,Wastewater,Preliminary treatment,Screening,Y,,
5315,12000379002,1078428,FL,Wastewater,Secondary treatment,"Suspended Growth, Aerobic",Y,,
5316,12000379002,1078428,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
5317,12000379002,1078428,FL,Wastewater,Nutrient Removal and additional treatment,Filtration,Y,,
5319,12000379002,1078428,FL,Wastewater,Disinfection,Dechlorination,Y,,
5320,12000379002,1078428,FL,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
819,29001092001,1133372,MO,Wastewater,Preliminary treatment,Screening,Y,,
820,29001092001,1133372,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
821,29001092001,1133372,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
466,29001104001,1133385,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
465,29001104001,1133385,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
1123,29003474001,1233275,MO,Wastewater,Preliminary treatment,Screening,Y,,
1119,29003474001,1233275,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
4157,12000700050,3500460,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,Y,,
4204,12000701028,3501052,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
4237,12000701055,3501101,FL,Decentralized Wastewater Treatment,Decentralized,Septic tank,,Y,
213,29003220001,3531656,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
241,29002497001,1133873,MO,Wastewater,Secondary treatment,"Activated Sludge, Conventional",,Y,activated sludge treatment
238,29002497001,1133873,MO,Wastewater,Preliminary treatment,Screening,,Y,
240,29002497001,1133873,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
242,29002497001,1133873,MO,Wastewater,Nutrient Removal and additional treatment,Biological P removal,,Y,
239,29002497001,1133873,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
243,29002497001,1133873,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,,Y,
670,29004038001,1134063,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
669,29004038001,1134063,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
1858,29004062001,1134079,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
2367,29004593000,1134173,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
8033,04002104002,3507184,AZ,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5518,12000155012,3508341,FL,Wastewater,Nutrient Removal and additional treatment,Biological N removal,Y,,"one (1) tubular steel contact tank (17,600 gallons), one (1) stabilization tank (25,200 gallons), one (1) circular steel clarifier (46,058 gallons)"
5519,12000155012,3508341,FL,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,"one (1) tubular steel digester (29,520 gallons)"
5186,12000172020,3532476,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5184,12000172020,3532476,FL,Wastewater,Preliminary treatment,Screening,Y,,
5185,12000172020,3532476,FL,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
4025,13000999007,3534436,GA,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
4024,13000999007,3534436,GA,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
6795,29002372001,405425,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
6796,29002372001,405425,MO,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
5148,12000076001,1078203,FL,Wastewater,Secondary treatment,"Biological Treatment, Other",Y,,
5149,12000076001,1078203,FL,Wastewater,Disinfection,"Disinfection, UV",Y,,
5147,12000076001,1078203,FL,Wastewater,Preliminary treatment,Screening,Y,,
5844,12000287001,1078400,FL,Wastewater,Preliminary treatment,Screening,Y,,
5846,12000287001,1078400,FL,Wastewater,Disinfection,"Disinfection, chlorine/ chloramine",Y,,
5845,12000287001,1078400,FL,Wastewater,Primary treatment,Primary Clarification or Sedimentation,Y,,
5847,12000287001,1078400,FL,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
2349,29001026001,1133297,MO,Wastewater,Preliminary treatment,Flow Equalization,Y,,
2352,29001026001,1133297,MO,Wastewater,Nutrient Removal and additional treatment,Chemical P Removal,Y,,
2348,29001026001,1133297,MO,Wastewater,Preliminary treatment,Screening,Y,,
2350,29001026001,1133297,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
2355,29001026001,1133297,MO,Wastewater,Secondary treatment,"Activated Sludge, Extended Aeration",Y,,extended aeration
2357,29001026001,1133297,MO,Wastewater,Secondary treatment,"Activated Sludge, Conventional",Y,,activated sludge
1411,29002051001,1133658,MO,Wastewater,Preliminary treatment,Screening,Y,,Septic tanks
491,29002193001,1133724,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
492,29002193001,1133724,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
2689,29002193001,1133724,MO,Wastewater,Secondary treatment,"Lagoon, Aerated",,Y,NitrOx reactor
345,29003351001,1133946,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
718,29003436001,1133959,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
1744,29004037001,1134061,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
1745,29004037001,1134061,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
1738,29004037002,1134062,MO,Wastewater,Secondary treatment,"Lagoon, Facultative",Y,,
1739,29004037002,1134062,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
1057,29004122001,1134132,MO,Wastewater,Secondary treatment,"Lagoon, Aerobic",Y,,
2436,29001024003,1133294,MO,Wastewater,Solids handling,Biosolids Anaerobic Digestion without Energy Recovery,Y,,
2432,29001024003,1133294,MO,Wastewater,Preliminary treatment,Screening,Y,,
2434,29001024003,1133294,MO,Wastewater,Secondary treatment,"Activated Sludge, Conventional",Y,,activated sludge
2437,29001024003,1133294,MO,Wastewater,Solids handling,Biosolids Mechanical Dewatering,Y,,
2433,29001024003,1133294,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
2435,29001024003,1133294,MO,Wastewater,Solids handling,Biosolids Thickening,Y,,
2431,29001024003,1133294,MO,Wastewater,Preliminary treatment,Flow Equalization,Y,,
956,29001035001,1133314,MO,Wastewater,Preliminary treatment,Screening,Y,,
957,29001035001,1133314,MO,Wastewater,Preliminary treatment,Flow Equalization,Y,,
958,29001035001,1133314,MO,Wastewater,Secondary treatment,Reactor (Oxidation Ditch),Y,,oxidation ditch
959,29001035001,1133314,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1718,29002092001,1133677,MO,Wastewater,Secondary treatment,"Activated Sludge, Extended Aeration",Y,,extended aeration
1717,29002092001,1133677,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
1719,29002092001,1133677,MO,Wastewater,Solids handling,Biosolids Aerobic Digestion,Y,,
485,29002182001,1133719,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
181,29002344001,1133792,MO,Wastewater,Disinfection,"Disinfection, UV",,Y,
193,29002344001,1133792,MO,Wastewater,Secondary treatment,"Lagoon, Anaerobic",Y,,
723,29004005001,1134032,MO,Wastewater,Disinfection,"Disinfection, UV",Y,,
