2022_UNIT_PROCESS_NAME,FINAL_UNIT_PROCESS_NAME,WERF CODE
,"Lagoon, Polishing",LAGOON_POL
,"Land Application, Slow Rate, W/O Underdrain",LAND_TRT
,"Land Application, Slow Rate, With Underdrain",LAND_TRT
,"Lime Treatment, Single Stage Primary",PRIMARY
,"Lime Treatment, Two Stage Primary",PRIMARY
,"Microstrainer, Primary",PRIMARY
,"Nitrification, Biological (Combined and BOD Reduction)",NIT
,"Nitrification, Biological (Other)",NIT
,"Nitrification, Biological (Separate Stage)",NIT
,Other Preliminary Or Primary Treatment,PRIMARY
,"Package Plant, Rotating Biological Contractor (RBC)",TF-RBC
Biological P removal,"Phosphorus Removal, Biological",BIO-P
,"Phosphorus Removal, Biological (Modified Bardenpho)",BIO-P
,"Phosphorus Removal, Biological (Phostrip)",BIO-P
Chemical P Removal,"Phosphorus Removal, Chemical",CHEM-P
Chemical N Removal,"Nitrogen Removal, Chemical",CHEM-P
,Photovoltaic Systems (Renewable Energy),PV
"Pond, Stabilization","Pond, Stabilization",STBL_POND
Reactor (Oxidation Ditch),Reactor (Oxidation Ditch),AS-OD
"Reactor, Sequencing Batch (SBR)","Reactor, Sequencing Batch (SBR)",AS-SBR
,Rotating Biological Contractors,TF-RBC
Primary Clarification or Sedimentation,"Sedimentation, Primary",PRIMARY
Trickling filter (unspecified media),Trickling Filter,TF
,"Trickling Filter, Biofilter",TF-BF
Trickling Filter,"Trickling Filter, Other Media",TF
,"Trickling Filter, Plastic Media",TF
,"Trickling Filter, Redwood Slats",TF
,"Trickling Filter, Rock Media",TF
,Waste Treatment Lagoon (NO.) (359),BS_LAGOON
,Wetland (Surface),WTLND-SURF
,Aerobic membrane bioreactor,MBR
,Access Road (FT) (560),0
,Acquire Wetlands/Riparian Areas,0
Granular activated carbon (GAC),"Activated Carbon, Granular",0
,"Activated Carbon, Powdered",0
,Adit Closures,0
,Advanced Treatment (Other),0
,Aerated Grit Chambers,0
Aeration,Aeration,0
,Aeration (Post-treatment),0
,Aeration (Pre-treatment),0
,Aerobic Unit,0
,Alley Cropping,0
,Ammonia Stripping,0
,Animal Trails and Walkways (AC) (575),0
Bioretention,Bioretention Systems,0
,Biosolids (Heat Treatment-Blowers),0
,Biosolids Aerated Storage,0
Biosolids Drying,Biosolids Air Drying,0
,"Biosolids Air Drying, Other Media",0
,"Biosolids Air Drying, Sand Beds",0
,"Phosphorus Removal, Chemical",0
Biosolids Chemical Addition,Biosolids Chemical Addition (Alum),0
,Biosolids Chemical Addition (Ferric Chloride),0
,Biosolids Chemical Addition (Polymer),0
,"Biosolids Composting, In-Vessel",0
,"Biosolids Composting, Other",0
,"Biosolids Composting, Static Pile",0
,"Biosolids Composting, Window",0
,"Biosolids Digestion, Other",0
,Biosolids Disposal (Monofil),0
,Biosolids Disposal (Other),0
,Biosolids Distribution And/Or Marketing of Biosolids,0
,Biosolids Elutriation,0
,Biosolids Freezing,0
,Biosolids Heat Recovery and Utilization,0
,Biosolids Land Application (Spreading),0
,"Biosolids Landfill (Interim or Final Cover, MSW)",0
,"Biosolids Landfill, daily burial (MSW)",0
,Biosolids Landfill/Trenching,0
,Biosolids Other Treatment,0
,"Biosolids Surface Disposal, Unlined Facility",0
,"Biosolids Thickening, Dissolved Air Flotation",0
,"Biosolids Thickening, Gravity",0
Biosolids Thickening,"Biosolids Thickening, Other",0
,"Biosolids Thickening, tank",0
,Biosolids Wet Air Oxidation,0
,Biosolods (Heat Treatment),0
,BMPs,0
,Brush Management (AC) (314),0
,Buffer Strips,0
,Carbon Regeneration,0
,Channel Vegetation (AC) (322),0
,"Chemical Addition (Alum), Secondary",0
,"Chemical Addition (Alum), Tertiary",0
,"Chemical Addition (Ferric Chloride), Secondary",0
,"Chemical Addition (Ferric Chloride), Tertiary",0
,Chemical Addition (Other),0
"Chemical Addition, Polymer",Chemical Addition (Polymer),0
,Chiseling and Subsoiling (AC) (324),0
,Chlorinate Oxidation (Purifax),0
,"Clarification, In-Channel",0
,"Clarification, Intermediate",0
,"Clarification, Other",0
,"Clarification, Secondary",0
,"Clarification, Tube Settlers",0
,Collectors,0
,Comminution,0
,Composting Facility (NO.) (317),0
,Conservation Cover (AC) (327),0
,Conservation Crop Rotation (AC) (328),0
,Construction Entrance,0
,Control/Lab/Maintenance Building,0
,Controlled Drainage (AC) (335),0
,Co-Pyrolysis With Solid Waste,0
,Cover and Green Manure Crop (AC) (340),0
,Critical Area Planting (AC) (342),0
,Custom Built Plant,0
Dechlorination,Dechlorination,0
,"Dechlorination, Bisulphite",0
,"Dechlorination, Sulphur Dioxide",0
,Design/Install Constructed Wetlands,0
,"Design/Install Infil Sys (Swales, Filter Strips)",0
,Detention Berms,0
,Develop&Implement Spill Prevention & Control Plan,0
,Dike (FT) (356),0
,Diversion (FT)(362),0
,Diversions,0
,Drainage (Subsurface) (Feet) (606),0
,"Drainage (Surface, Main or Lateral) (Feet) (608)",0
,Dry Detention Practices,0
,Duckweed (Lemna),0
,"Equalization, at POTW",0
Flow Equalization,"Equalization, Flow",0
,Erosion Control (Contour Buffer Strips) (Acres) (332),0
,Erosion Control (Contour Farming) (Acres) (330),0
,Erosion Control Blanket,0
,Evaporation,0
,Evapotranspiration Bed,0
,Extended Detention Ponds,0
,Fence (FT) (382),0
,Field Border (FT) (386),0
,Filter (Activated Bio-),0
,"Filter (Gravity Sand Beds, single media)",0
,Filter (Sand/Gravel-Pretreatment),0
,Filter (Sand-Intermittent),0
,Filter (Sand-Recirculating),0
,Filter Fabric Fence,0
,Filter Strip (AC) (393A),0
,"Filter, Denitrification with Coarse Media",0
,"Filter, Denitrification with Fine Media",0
,"Filter, Mixed Media",0
,"Filter, Moving Bed",0
,"Filter, Other",0
,"Filter, Pressure",0
,"Filter, Rapid Sand",0
,"Filter, Rock",0
,"Filter, Slow Sand",0
,Filtration Basins And Sand Filters,0
Filtration,Filtration Systems,0
,Fire Management,0
,Firebreak (FT) (394),0
,"Fish Raceway or Tank (M, FT and M3/S, FT3/S) (398)",0
,Fish Stream Improvement (FT) (395),0
Flocculation,Flocculation,0
,Floodwater Diversion (FT) (400),0
,Floodway (FT) (404),0
Flotation,Flotation,0
,Forage Harvest Management (AC)(511),0
,Force Main,0
,Forest Harvest Trails and Landings (AC) (655),0
,Forest Site Preparation (AC) (490),0
,Freesurface/Wetland (Marsh System),0
,Freesurface/Wetland(Marsh System),0
,Freezing,0
,Fully Automated Using Analog Controls,0
,Fully Automated Using Digital Control,0
,Grade Stabilization Structure (NO.)(410),0
Vegetated swale,Grassed Swales,0
,Grassed Waterway (AC) (412),0
,Gravity,0
,Grazing Land Mechanical Treatment (AC) (548),0
Grinder pump - low-pressure sewer,Grinder Pump- Low Pressure Sewer,0
,Grit Removal,0
"Attached Growth, Aerobic","Growth Process, Other Attached",0
"Suspended Growth, Aerobic","Growth Process, Other Suspended",0
,Heavy Use Area Protection (AC) (561),0
,Herbaceous Wind Barriers (FT) (422A),0
,Hillside Ditch (FT) (423),0
Holding tank,Holding Tank,0
,I/I Controls,0
,Imhoff Tank,0
,Incineration - Rotary Kiln,0
Infiltration trench,Infiltration Basins,0
,Influent Pumping,0
,Inlet Protection,0
,In-System Modifications,0
,Interceptors,0
,Ion Exchange,0
,"Irrig H2O Conv (FT), Pipe, HP, Udg Plastic (430DD)",0
,"Irrig H2O Conv, Pipe, Rigid Gated Pipe (430HH)",0
,"Irrig H2O Conv, Pipe, Steel (430FF)",0
,Irrigat. Canal or Lateral (FT) (320),0
,Irrigat. Land Leveling (AC) (464),0
,Irrigat. Storage Reserv. (NO. ANDAC-FT) (436),0
,"Irrigat. Sys. (NO.+AC), Sprinkler (442)",0
,"Irrigat. Sys., Tailwater Recovery (NO.) (447)",0
,"Irrigat. System (NO. AND AC), Trickle (441)",0
,Irrigation Water Management (AC)(449),0
,Land Acquisition,0
,"Land Recl, Landslide Treat (NO. AND HA, AC) (453)",0
,"Land Recl, Toxic Discharge Control (NO.) (455)",0
,"Land Recon, Abandoned Mined Land (AC) (543)",0
,Land Treatment,0
,Landfill Cap,0
Leach field,Leach Field (Multiple Unit with Soil Absorption),0
,Leach Field (Standard),0
,Lime Treatment,0
,"Lime Treatment, Single Stage Tertiary",0
,"Lime Treatment, Two Stage Tertiary",0
,Lined Waterway or Outlet (FT) (468),0
,Manually Controlled,0
,Manure Transfer (NO) (634),0
,Mechanical Dewatering,0
,Membrane Process (Dialysis),0
,Membrane Process (Electrodialysis),0
,Membrane Process (Other),0
,Membrane Process (Reverse Osmosis),0
,"Microstrainer, Secondary",0
Mound system,Mound System,0
,Mulching (AC) (484),0
,Neutralization,0
,Ocean Disposal Of Biosolids,0
,Open Channel (FT) (582),0
,Other Chemical Addition,0
,Other Chemical Treatment,0
,Other Collection,0
,Other Land Treatment System,0
,Other Non-Centralized Sewer,0
Other non-centralized treatment,Other Non-Centralized Treatment,0
,Other Physical Treatment,0
,Other Physical/Chemical,0
,Other Physical-Chemical Treatment,0
Screening,Other Screening,0
,Other Sewer System Rehabilitation,0
,Outfall Diffuser,0
,Outfall Pumping,0
,Overland Flow System,0
,Package Plant (Other),0
,Pasture and Hay Planting (AC) (512),0
,Permanent Vegetative Cover,0
,Pest Management (AC) (595A),0
,Pesticide Management Plans,0
,Pipeline (FT) (516),0
,Pond (NO.) (378),0
,Pond Sealing/Bentonite Sealant (521C),0
,"Pond, Total Containment",0
,Post Aeration,0
,Preaeration,0
,Precision Land Forming (AC) (462),0
,Prescribed Burning (AC) (338),0
,Prescribed Grazing (AC) (528A),0
,"Properly Store, Apply & Dispose Of Petrol. Product",0
,Pump Station,0
,Pump Stations,0
,Pumping Plant for Water Control (NO.) (533),0
,"Pumping, Effluent",0
,"Pumping, Influent",0
,Pyrolysis,0
,Range Planting (AC) (550),0
,"Rapid Infiltration System, W/O Underdrain",0
,"Rapid Infiltration System, With Underdrain",0
,Reactor (Fixed Film),0
,"Reactor, Other",0
,"Reactor, Vertical Loop",0
,Recalcination,0
,Recarbonation,0
,Recreation Area Improvement (AC) (562),0
,Recreation Land Grading and Shaping (AC) (566),0
,Recreation Trail and Walkway (FT) (568),0
,Reduction,0
,"Residue Management, Mulch Till (AC) (329B)",0
,"Residue Management, No/Strip-Till (AC) (329A)",0
,"Residue Management, Ridge Till (AC) (329C)",0
,"Residue Management, Seasonal (AC) (344)",0
,Restore Wetlands/Riparian Areas,0
,Retention Ponds,0
,Revegetation Of Disturbed Areas,0
,Riparian Forest Buffer (AC) (391A),0
,Riprap/Gabions,0
,Road Construction/Reconstruction,0
,Road Management,0
,Rock Barrier (FT) (555),0
,Roof Runoff Management (NO.) (558),0
,Runoff Management System (NO. AND AC) (570),0
,Screen (Bar Rack and Coarse),0
,Screen (Fine and Microstrainers),0
,"Screen, Bar",0
,"Screen, Mechanical Bar",0
,Scum Removal,0
,Sediment Basin (NO.) (350),0
,Sediment Basins,0
,Sediment Trap,0
,Sediment Trap (Resource Extraction),0
Sedimentation,Sedimentation,0
,"Sedimentation, Chemical Precipitation",0
,"Sedimentation, Other",0
,Seed And Fertilize,0
,Seeding/Revegetation,0
,Seeding/Revegetation (Resource Extraction),0
,Semi-automated,0
,Semi-package Plant,0
,Septage Receiving Facility,0
,Septage Treatment - Separate Stage,0
Septic tank,Septic Tank,0
,Septic Tank Effluent Pump Sewer System,0
,Settling Tank,0
,Sewer System Separation,0
,Shore Erosion Control,0
,Site Preparation And Forest Regeneration,0
,Slope Drains,0
,Small Diameter Gravity Sewer,0
,Soil Bioengineering,0
,Spill Prevention And Contingency Plan,0
,Spring Development (NO.) (574),0
,Storage (In-line),0
,Storage (Lagoon),0
,"Storage (Off-line, e.g. Retention Basins)",0
,Storage (Other),0
,"Store, Cover, And Isolate Construction Materials.",0
,Straw Bale Barrier,0
,Stream Channel Stabilization (FT) (584),0
,Streambank and Shoreline Protection (FT) (580),0
,Streamside Management Areas (SMAs),0
,Structure for Water Control (NO.) (587),0
,Subsurface Flow,0
,Swirl Concentrators,0
,Temporary Vegetative Cover,0
,Terrace (FT) (600),0
,Tidegate/Regulator Maintenance,0
,Timber Harvesting,0
,Tree/Shrub Establishment (AC) (612),0
,Trough or Tank (NO.) (614),0
,Underground Outlet (FT) (620),0
,Use Exclusion (AC) (472),0
,Vacuum Sewer,0
,Vegetated Filter Strips,0
,Vegetated Filter Strips (Structural),0
,Vegetative Barriers Vertical Drain (NO.) (630),0
,Vortex Solids Separators,0
,Waste Disposal Facilities,0
,Waste Management System (NO.) (312),0
,Waste Storage Facility (NO.) (313),0
,Waste Utilization (AC) (633),0
,Water and Sediment Control Basin (NO.) (638),0
,Well (NO.) (642),0
,Wet Detention Practices,0
Wet pond,Wet Ponds,0
,Wetland (Surface),WTLND-SURF
,Wetland Development or Restoration (AC) (657),0
,Wildlife Upland Habitat Management (AC) (645),0
,Wildlife Wetland Habitat Management (AC) (644),0
,Wind Erosion Controls,0
,Windbreak/Shelterbelt Establishment (FT) (380),0
Biological Nutrient Removal,Biological Nutrient Removal,BNR
"Sludge Blanket, Anaerobic","Biosolids Anaerobic Digestion, Other",AND
