AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified Activated Sludge,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,UCT,FourStageBardenpho,FiveStageBardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Heat Recovery
Calipatria City,Calipatria City WWTP,CA0105015,R7-2020-0010.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,R2-2022-0010.pdf,No,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,present,0,0,0,present,present,present,present,0,present,0,present,0,present,0,0,present,0,0,0,0,present,0,0
Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,CA0038628,Final Order Central Marin Sanitation Agency.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,present,0,0,present,0,0,0,0,present,0,0,0,0,present,present,0
Chico City,Chico Water Pollution Control Plant,CA0079081,r5-2022-0033_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present_and_future,0,0,future,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0
City of Morro Bay,City of Morro Bay Water Reclamation Facility,CA3000002,7-18-22_MorroBay_finalorder.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
City of Redding,Clear Creek WWTP,CA0079731,r5-2022-0040_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,present,present,0,0,0,present,present,present,0,present,present,0,present,0,0,0,present,present_and_future,0,0,0,0,present,0,0
City of Redding,Stillwater WWTF,CA0082589,r5-2023-0017_npdes.pdf,No,0,present,present_and_future,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,future,future,present_and_future,0,future,0,future,0,0,0,future,present,0,0,0,0,0,0,0
City of Santa Cruz,Santa Cruz WWTP,CA0048194,R3-2023-0001.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,present,present,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Clovis City,Clovis WWTF,CA0085235,r5-2024-0036_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,present,0,0,present,0,present,0,0,present,0,0,0,0,0,0,0
Coachella Valley WD,Coachella Valley WD WWTP,CA0104973,R7-2023-0013.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,future,0,0,present,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Colusa City,City of Colusa WWTP,CA0078999,r5-2022-0020_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0
Corning City,City of Corning WWTP,CA0004995,r5-2022-0022_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
"Country Life MHRVP Asset Partners, L.P.",Country Life MHPRV Asset Partners LP WWTP,CA0104264,R7-2023-0041.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Covelo CSD,Covelo POTW,CA0023574,23_0006_covelo_csd_06.20.2023_eosigned.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0
Crockett Community Services District,Port Costa WWTP,CA0037885,R2-2024-0009 Port Costa NPDES Order.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Cutler-Orosi JT Powers WW Authority,Cutler-Orosi WWTF,CA0081485,r5-2025-0013_ndpes.pdf,No,0,0,present,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,future,0,0,0,present,present,0,0,0,0,0,0,0
Date Gardens Asset Partners LP,Date Gardens MHP WWTP,CA0104841,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,present,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Davis City,City of Davis WWTP,CA0079049,r5-2025-0026_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,present,0,present,present,present,present,0,0,0,present,0,0,0,present,present,0,0,0,0,0,0,0
Dublin San Ramon Services District (WWTP NPDES & SSO),Dublin San Ramon SD WWTP,CA0037613,DSRSD - R2-2022-2024.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0
Dunsmuir City,Dunsmuir WWTP,CA0078441,r5-2024-0009_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,future,0,0,0,0,0,0,0,present,present,0,0,present,0,0,0,0,0,present,present,0,0,0,0,0,0,0
East Bay Dischargers Authority,EBDA Common Outfall,CA0037869,EBDA - R2-2022-0023.pdf,No,0,present,present_and_future,0,present_and_future,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present_and_future,0,0,present,0,0,0,future,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,present,0,0,0,0,0,future,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,present,0,0,0,0,0,0,0,0,future,future,future,future,0,future,0,future,0,0,future,0,0,0,0,0,0,0
East Bay MUD (WPCP),EBMUD SD#1-Wet Wthr Bypass,CA0038440,R2-2025-0006.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
East Bay MUD (WPCP),EBMUD WPCP,CA0037702,R2-2020-0024.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,present,0,0
Eastern Municipal Water District,Temescal Creek Outfall,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0
Eureka City,Eureka City Elk River WWTP,CA0024449,23_0016_Eureka_WWTP_NPDES_09.21.23.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0
Ferndale City,Ferndale City POTW,CA0022721,18_0046_Ferndale_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,present_and_future,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Forestville Water District,Forestville Water District,CA0023043,2024_0004_forestville_npdes_signed.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Graton CSD,Graton CSD,CA0023639,18_0001_Graton_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present
Grizzly Lake CSD,Delleker WWTP,CA0081744,R5-2019-0052.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Healdsburg City,Healdsburg City WWTP,CA0025135,22_0017_Healdsburg_WWTF_NPDES.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heber PUD,Heber PUD WWTP,CA0104370,R7-2022-0007.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,present,present,0,present,0,present,present,0,0,0,present,0,0,0,0,0,0,0
Heritage Ranch CSD,Heritage Ranch WWTP,CA0048941,R3-2017-0026 Final.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,present,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holtville City,Holtville City WWTP,CA0104361,R7-2022-0005.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt County Resort Improvement District #1,Shelter Cove POTW,CA0023027,22_0002shltrCvNPDES.pdf,No,0,0,future,0,present_and_future,0,0,0,0,0,present_and_future,0,present,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Inland Empire Utilities Agency,IEUA Regional Plant No. 1,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0
Inland Empire Utilities Agency,IEUA Regional Plant No. 4,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0
Inland Empire Utilities Agency,IEUA Carbon Canyon WWRF,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0
Inland Empire Utilities Agency,IEUA Regional Plant No. 5,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0
Inland Empire Utilities Agency,IEUA Regional Plant No. 2,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0
Ironhouse Sanitary District,Ironhouse WWTF,CA0085260,R5-2024-0038.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,San Jose Creek Water Reclamation Plant,CA0053911,5542_R4-2021-0131_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Los Coyotes WRP,CA0054011,5059_R4-2021-0142_WDR_PKG (signed).pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Long Beach WRP,CA0054119,5662_R4-2022-0032_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Whittier Narrows Water Reclamation Plant,CA0053716,2848_R4-2021-0096_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,r5-2022-0004-01_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0
