"CWNS_ID","FACILITY_ID","STATE_CODE","PERMIT_NUMBER","PERMIT_SOURCE","PERMIT_TYPE"
"05000303001",1105130,AR,AR0034126,NPDES,Individual Permit
"05000626001",1105427,AR,AR0036692,NPDES,Individual Permit
"05000639001",1105439,AR,AR0035611,NPDES,Individual Permit
"05000715001",1105511,AR,AR0038211,NPDES,Individual Permit
"13000022003",1108975,GA,GA0024988,NPDES,Individual Permit
"13000202001",1109223,GA,GA0025569,NPDES,Individual Permit
"13000207001",1109236,GA,GA0024660,NPDES,Individual Permit
"13000574002",1109374,GA,GA0025470,NPDES,Individual Permit
"13000575008",1109382,GA,GA0022659,NPDES,Individual Permit
"13000725001",1109551,GA,GA0033758,NPDES,Individual Permit
"13000856001",1109680,GA,GA0023191,NPDES,Individual Permit
"17000001001",1113294,IL,IL0020877,NPDES,Individual Permit
"17000154002",1113431,IL,IL0046264,NPDES,Individual Permit
"17000155001",1113432,IL,IL0069906,NPDES,Individual Permit
"17000395001",1113662,IL,ILG580175,NPDES,General Permit Covered Facility
"17000402006",1113673,IL,IL0021971,NPDES,Individual Permit
"17000415001",1113684,IL,ILG580055,NPDES,General Permit Covered Facility
"17000661001",1113930,IL,IL0020583,NPDES,Individual Permit
"17000670003",1113938,IL,IL0053457,NPDES,Individual Permit
"17001124001",1114049,IL,IL0077577,NPDES,Individual Permit
"17007505001",1114341,IL,IL0061140,NPDES,Individual Permit
"18000451001",1120188,IN,IN0022438,NPDES,Individual Permit
"18000505001",1120194,IN,IN0020338,NPDES,Individual Permit
"18000702001",1120205,IN,IN0032476,NPDES,Individual Permit
"18002080001",1120268,IN,IN0025755,NPDES,Individual Permit
"18003030001",1120281,IN,IN0020575,NPDES,Individual Permit
"18003110001",1120288,IN,IN0021491,NPDES,Individual Permit
"18003270001",1120303,IN,IN0040967,NPDES,Individual Permit
"18004174001",1120336,IN,IN0021199,NPDES,Individual Permit
"19000184001",1123607,IA,IA0023531,NPDES,Individual Permit
"19000185001",1123608,IA,IA0021351,NPDES,Individual Permit
"19000255001",1123672,IA,IA0023507,NPDES,Individual Permit
"19000415001",1123809,IA,IA0026506,NPDES,Individual Permit
"19000434001",1123828,IA,IA0025372,NPDES,Individual Permit
"19000444001",1123837,IA,IA0058521,NPDES,Individual Permit
"19000577001",1123958,IA,IA0036927,NPDES,Individual Permit
"19000754001",1124109,IA,IA0061344,NPDES,Individual Permit
"19001018001",1124297,IA,IA0043494,NPDES,Individual Permit
"16000023001",1128570,ID,ID0026174,NPDES,Individual Permit
"16000026001",1128573,ID,ID0023825,NPDES,Individual Permit
"20000169001",1130174,KS,KS0049751,NPDES,Individual Permit
"20000419001",1130240,KS,KS0027171,NPDES,Individual Permit
"20000449001",1130266,KS,KS0045802,NPDES,Individual Permit
"20000471001",1130287,KS,KS0022543,NPDES,Individual Permit
"20000995001",1130476,KS,KS0084085,NPDES,Individual Permit
"20000997001",1130478,KS,KS0079146,NPDES,Individual Permit
"20001407001",1130614,KS,KS0025551,NPDES,Individual Permit
"29002065001",1133669,MO,MO0104019,NPDES,Individual Permit
"29002212001",1133738,MO,MO0114189,NPDES,Individual Permit
"29002295001",1133769,MO,MO0036200,NPDES,Individual Permit
"29002318001",1133781,MO,MO0115118,NPDES,Individual Permit
"29003163001",1133927,MO,MO0055328,NPDES,Individual Permit
"29004068001",1134085,MO,MO0034240,NPDES,Individual Permit
"29004078001",1134094,MO,MO0100234,NPDES,Individual Permit
"29004108001",1134117,MO,MO0118982,NPDES,Individual Permit
"21000025011",1139492,KY,KY0078956,NPDES,Individual Permit
"21000116001",1139580,KY,KY0098043,NPDES,Individual Permit
"21000293001",1139709,KY,KY0052752,NPDES,Individual Permit
"23000027001",1142460,ME,ME0100111,NPDES,Individual Permit
"35000021001",1145022,NM,NM0022250,NPDES,Individual Permit
"35000029003",1145039,NM,NM0028827,NPDES,Individual Permit
"31001965001",1146017,NE,NE0027294,NPDES,Individual Permit
"27005406001",1148340,MN,MN0020877,NPDES,Individual Permit
"27005604001",1148353,MN,MN0021997,NPDES,Individual Permit
"48001121001",1227767,TX,TX0070017,NPDES,Individual Permit
"48004202001",1227850,TX,TX10739-1,Non-NPDES,Permit not found in NPDES lookup
"48005076001",1227882,TX,TX0024902,NPDES,Individual Permit
"48007060001",1227911,TX,TX0074284,NPDES,Individual Permit
"55000020001",1229124,WI,WI0023159,NPDES,Individual Permit
"55001270001",1229162,WI,WI0021016,NPDES,Individual Permit
"55002890001",1229200,WI,WI0049832,Non-NPDES,Permit not found in NPDES lookup
"55004190001",1229229,WI,WI0028967,NPDES,Individual Permit
"55005360001",1229253,WI,WI0022462,NPDES,Individual Permit
"31000224001",1230175,NE,NE0029149,NPDES,Individual Permit
"20000862001",1230913,KS,KS0047261,NPDES,Individual Permit
"27000051001",1231487,MN,MN0030163,NPDES,Individual Permit
"27000108001",1231490,MN,MN0024627,NPDES,Individual Permit
"27001119001",1231515,MN,MN0020281,Non-NPDES,Permit not found in NPDES lookup
"27001119001",1231515,MN,MNG580180,NPDES,General Permit Covered Facility
"36001017001",1232106,NY,NY0021342,NPDES,Individual Permit
"36003066001",1232113,NY,NY0030490,NPDES,Individual Permit
"36005012001",1232128,NY,NY0020991,NPDES,Individual Permit
"36006110001",1232145,NY,NY0206997,NPDES,Individual Permit
"36008088001",1232172,NY,NY0025101,NPDES,Individual Permit
"17009811001",1232771,IL,ILG580199,NPDES,General Permit Covered Facility
"19000088001",1234634,IA,IA0047929,NPDES,Individual Permit
"21000278001",1235509,KY,KY0040703,NPDES,Individual Permit
"37004405001",1236374,NC,NC0025321,NPDES,Individual Permit
"37006402001",1236383,NC,WQ0002560,Non-NPDES,State - Other
"40000807001",1236902,OK,OK0027570,NPDES,Individual Permit
"22009900001",1237442,LA,LA0041394,NPDES,Individual Permit
"54004105001",1095185,WV,WV0027740,NPDES,Individual Permit
"01000299001",1102124,AL,AL0052272,NPDES,Individual Permit
"01000343001",1102157,AL,AL0070858,NPDES,Individual Permit
"01000396001",1102202,AL,AL0050636,NPDES,Individual Permit
"02000342001",1104822,AK,AK1279019,Non-NPDES,Permit not found in NPDES lookup
"05000075001",1104913,AR,AR0033812,NPDES,Individual Permit
"05000161001",1104992,AR,AR0021695,NPDES,Individual Permit
"05000165001",1104996,AR,AR0021555,NPDES,Individual Permit
"05000320001",1105146,AR,AR0020672,NPDES,Individual Permit
"05000502001",1105302,AR,AR0021571,NPDES,Individual Permit
"05000647001",1105447,AR,AR0047589,NPDES,Individual Permit
"05000760001",1105548,AR,AR0039233,NPDES,Individual Permit
"13000180001",1109188,GA,GA0046141,NPDES,Individual Permit
"13000504001",1109302,GA,GA0049247,NPDES,Individual Permit
"13000589001",1109397,GA,GA0021326,NPDES,Individual Permit
"13000638002",1109451,GA,GA0033201,NPDES,Individual Permit
"17000002001",1113295,IL,IL0020788,NPDES,Individual Permit
"17000324001",1113592,IL,IL0020737,NPDES,Individual Permit
"17000336001",1113604,IL,ILG580009,NPDES,General Permit Covered Facility
"17000385001",1113651,IL,IL0022403,NPDES,Individual Permit
"17000429001",1113699,IL,ILG580050,NPDES,General Permit Covered Facility
"17000556001",1113833,IL,IL0039551,NPDES,Individual Permit
"17001219001",1114063,IL,ILG580187,NPDES,General Permit Covered Facility
"17001403001",1114084,IL,IL0021741,NPDES,Individual Permit
"17005101001",1114199,IL,ILG580063,NPDES,General Permit Covered Facility
"17007717001",1114379,IL,ILG580267,NPDES,General Permit Covered Facility
"17009814001",1114439,IL,ILG580016,NPDES,General Permit Covered Facility
"18000001001",1120056,IN,IN0039705,NPDES,Individual Permit
"18000085001",1120109,IN,IN0023841,NPDES,Individual Permit
"18000105001",1120117,IN,IN0022977,NPDES,Individual Permit
"18000254001",1120153,IN,IN0022969,NPDES,Individual Permit
"15000001002",1123258,HI,HI0021113,NPDES,Individual Permit
"19000167001",1123590,IA,IA0024473,NPDES,Individual Permit
"19000299001",1123709,IA,IA0046671,NPDES,Individual Permit
"19000363001",1123761,IA,IA0023485,NPDES,Individual Permit
"19000378001",1123775,IA,IA0021083,NPDES,Individual Permit
"19000700001",1124066,IA,IA0033031,NPDES,Individual Permit
"19000785001",1124134,IA,IA0036005,NPDES,Individual Permit
"19000813001",1124158,IA,IA0064726,NPDES,Individual Permit
"19000873001",1124215,IA,IA0036021,NPDES,Individual Permit
"19000879001",1124219,IA,IA0032930,NPDES,Individual Permit
"16000088001",1128638,ID,LA000027 ,Non-NPDES,Land Application
"16000120001",1128660,ID,ID0020290,NPDES,Individual Permit
"16000165001",1128693,ID,ID0020214,NPDES,Individual Permit
"16000204001",1128727,ID,LA000152 ,Non-NPDES,Land Application
"20000464002",1130281,KS,KS0096245,NPDES,Individual Permit
"20000560001",1130341,KS,KS0051721,NPDES,Individual Permit
"20000969001",1130464,KS,KS0024767,NPDES,Individual Permit
"20001517001",1130636,KS,KS0024759,NPDES,Individual Permit
"29001066002",1133348,MO,MO0093068,NPDES,Individual Permit
"29001124001",1133404,MO,MO0045811,NPDES,Individual Permit
"29001177001",1133502,MO,MO0041131,NPDES,Individual Permit
"29002174001",1133717,MO,MO0097608,NPDES,Individual Permit
"29002332001",1133785,MO,MO0100111,NPDES,Individual Permit
"29002474001",1133861,MO,MO0116581,NPDES,Individual Permit
"29003714001",1134004,MO,MO0135968,NPDES,Individual Permit
"29004016001",1134044,MO,MO0111597,NPDES,Individual Permit
"21000172001",1139613,KY,KY0033774,NPDES,Individual Permit
"21000184001",1139623,KY,KY0021130,NPDES,Individual Permit
"21000341001",1139745,KY,KY0027359,NPDES,Individual Permit
"21000525001",1139817,KY,KY0105422,NPDES,Individual Permit
"21000701001",1139862,KY,KY0033791,NPDES,Individual Permit
"31001356001",1145940,NE,NE0021547,NPDES,Individual Permit
"27001219001",1148205,MN,MN0021415,NPDES,Individual Permit
"27003303001",1148280,MN,MN0052248,Non-NPDES,Permit not found in NPDES lookup
"27005404001",1148338,MN,MN0022322,NPDES,Individual Permit
"37003306001",1153339,NC,NC0050661,NPDES,Individual Permit
"37005105001",1153467,NC,NC0064891,NPDES,Individual Permit
"37008204001",1153691,NC,NC0025569,NPDES,Individual Permit
"37009002001",1153746,NC,WQ0011928,Non-NPDES,Land Application
"37009901001",1153817,NC,NC0020338,NPDES,Individual Permit
"30000086001",1159146,MT,MT0021709,NPDES,Individual Permit
"36009112001",1221461,NY,NY0027774,NPDES,Individual Permit
"48009076001",1227953,TX,TX0092274,NPDES,Individual Permit
"55000890001",1229151,WI,WI0021423,NPDES,Individual Permit
"31000035001",1230165,NE,NE0031241,NPDES,Individual Permit
"31001900001",1230244,NE,NEG96000 ,Non-NPDES,Permit not found in NPDES lookup
"27000189001",1231498,MN,MN0020664,NPDES,Individual Permit
"27003109001",1231523,MN,MN0024716,NPDES,Individual Permit
"36004006001",1232120,NY,NY0260479,NPDES,Individual Permit
"36005014001",1232129,NY,NY0022187,NPDES,Individual Permit
"36009035001",1232183,NY,NY0258202,NPDES,Individual Permit
"29002251001",1233247,MO,MO0022861,NPDES,Individual Permit
"29002503001",1233266,MO,MO0055280,NPDES,Individual Permit
"29004160001",1233309,MO,MO0050610,NPDES,Individual Permit
"18002170001",1234189,IN,IN0032328,NPDES,Individual Permit
"21000119001",1235489,KY,KY0022403,NPDES,Individual Permit
"21000198001",1235500,KY,KY0025119,NPDES,Individual Permit
"21000198001",1235500,KY,KYP000084,Non-NPDES,State
"21000303001",1235516,KY,KY0034126,NPDES,Individual Permit
"51000171009",1235978,VA,VA0020982,NPDES,Individual Permit
"37005102001",1236375,NC,NC0025453,NPDES,Individual Permit
"46000415001",1237162,SD,SD0021555,NPDES,Individual Permit
"05000312001",1237651,AR,AR0035769,NPDES,Individual Permit
"41000183001",1238059,OR,OR0029998,NPDES,Individual Permit
"12000089002",1239612,FL,FL0170909,NPDES,Individual Permit
"39002969032",2806300,OH,OH0123684,NPDES,Individual Permit
"37001301003",2843424,NC,NC0081621,NPDES,Individual Permit
"36004159001",2844960,NY,NY0263214,NPDES,Individual Permit
"54000000279",3613555,WV,WVR030059,NPDES,General Permit Covered Facility
"01200100015",2977503,AL,AL0020001,NPDES,Individual Permit
"22009087010",3011343,LA,LAG560127,Non-NPDES,Permit not found in NPDES lookup
"12000099011",3015062,FL,FLR04E032,NPDES,General Permit Covered Facility
"18000058001",3052748,IN,IN0057614,NPDES,Individual Permit
"40000180002",3053456,OK,OK0040461,NPDES,Individual Permit
"51001400069",3107628,VA,VA0083411,NPDES,Individual Permit
"48071128001",3136408,TX,TX12304-1,Non-NPDES,Permit not found in NPDES lookup
"12000057008",3165068,FL,FLS000005,NPDES,Individual Permit
"39000278006",3298050,OH,OH0122297,NPDES,Individual Permit
"34002296011",442641,NJ,NJG150444,NPDES,General Permit Covered Facility
"55000000057",3320113,WI,WIS050075,NPDES,Storm Water General
"06008010006",3486596,CA,R8-04-020,Non-NPDES,State
"06008010006",3486596,CA,CA8000073,NPDES,Individual Permit
"08209000150",3501028,CO,COG582028,Non-NPDES,Permit not found in NPDES lookup
"12000222013",3507363,FL,FL0116009,NPDES,Individual Permit
"54005407002",3513597,WV,WVR030032,NPDES,General Permit Covered Facility
"54002505011",3514017,WV,WV0081612,NPDES,Individual Permit
"48003033016",3514807,TX,TX0097870,NPDES,Individual Permit
"17000703003",3521617,IL,IL0022071,NPDES,Individual Permit
"33000047002",3521783,NH,NHR041008,NPDES,Storm Water
"37008612001",3528276,NC,NC0020567,NPDES,Individual Permit
"04002801026",3530136,AZ,AZ2002002,NPDES,Storm Water General
"48003008902",3532196,TX,TXR040037,NPDES,General Permit Covered Facility
"04002103002",3533956,AZ,AZG2002-0,NPDES,Storm Water General
"55000000187",3610560,WI,WI0030520,NPDES,Individual Permit
"17000530002",3541536,IL,ILR400343,NPDES,General Permit Covered Facility
"35201200040",3541937,NM,DP-600,Non-NPDES,State
"01201200006",3543276,AL,AL0055158,NPDES,Individual Permit
"21000007001",372714,KY,KY0096881,NPDES,Individual Permit
"12000088006",386823,FL,FLR04E008,NPDES,General Permit Covered Facility
"18000004136",412260,IN,INR040136,Non-NPDES,Permit not found in NPDES lookup
"18000004141",413124,IN,INR040141,Non-NPDES,Permit not found in NPDES lookup
"13000000773",3612756,GA,GAS000207,NPDES,Individual Permit
"39000000265",3613632,OH,OH0028690,NPDES,Individual Permit
"21000611001",3542997,KY,KYP000094,NPDES,Individual State Issued Permit (Non-NPDES)
"13000000797",3612995,GA,GAG610019,NPDES,General Permit Covered Facility
"17001030001",2893922,IL,IL0074926,NPDES,Individual Permit
"34001204011",442498,NJ,NJ0154415,NPDES,Individual Permit
"48003043003",3514976,TX,TX0137448,NPDES,Individual Permit
"13000814001",1109636,GA,GA0039225,NPDES,Individual Permit
"24000000045",3613656,MD,MD0023043,NPDES,Individual Permit
"34001203011",442497,NJ,NJG151505,NPDES,General Permit Covered Facility
"55002780001",1206381,WI,WIG003205,NPDES,General Permit Covered Facility
"17001003001",1114031,IL,IL0030554,NPDES,Individual Permit
"42000000185",3613828,PA,PAG132207,NPDES,General Permit Covered Facility
"21000400001",1139786,KY,KY0107905,NPDES,Individual Permit
"34002540011",442744,NJ,NJR141852,NPDES,Storm Water
"13000000805",3613004,GA,GAS000119,NPDES,Individual Permit
"42000000185",3613828,PA,PAG132267,NPDES,General Permit Covered Facility
"42000000185",3613828,PA,PAG132253,NPDES,General Permit Covered Facility
"36007212001",471053,NY,NY0262480,NPDES,Individual Permit
"29002213001",485766,MO,MO0098981,NPDES,Individual Permit
"29003473002",3536796,MO,MO0129852,NPDES,Individual Permit
"21000019000",3542737,KY,KY0034169,NPDES,Individual Permit
"53320000001",374154,WA,ST0006206,Non-NPDES,State - Groundwater
"42000000185",3613828,PA,PAI132243,NPDES,Individual Permit
"18000004064",414160,IN,INR040064,Non-NPDES,Permit not found in NPDES lookup
"72000003010",424329,PR,PR0021679,NPDES,Individual Permit
"55005110002",429328,WI,WIS050075,NPDES,Storm Water General
"40000797002",429744,OK,OK0027189,NPDES,Individual Permit
"34003505011",442346,NJ,NJR141852,NPDES,Storm Water
"42000000185",3613828,PA,PAI132244,NPDES,Individual Permit
"34006335011",442695,NJ,NJR141852,NPDES,Storm Water
"34001454011",442859,NJ,NJG151190,NPDES,General Permit Covered Facility
"34008210011",444191,NJ,NJG153311,NPDES,General Permit Covered Facility
"54005505003",1095332,WV,WV0038351,NPDES,Individual Permit
"54002904001",3513798,WV,WV0037699,NPDES,Individual Permit
"54005510006",1095347,WV,WV0020681,NPDES,Individual Permit
"34002504011",442523,NJ,NJG149861,NPDES,General Permit Covered Facility
"42000000155",3613226,PA,PAG136146,NPDES,General Permit Covered Facility
"34005219011",442530,NJ,NJG154083,NPDES,General Permit Covered Facility
"54002099912",491466,WV,WVR030027,NPDES,General Permit Covered Facility
"08000006001",1066814,CO,CO0023833,NPDES,Individual Permit
"08000036001",1066839,CO,COX631017,NPDES,General Permit Covered Facility
"08000036001",1066839,CO,CO0021890,Non-NPDES,Permit not found in NPDES lookup
"08000036001",1066839,CO,COX047210,Non-NPDES,Permit not found in NPDES lookup
"08000074001",1066878,CO,CO0026662,NPDES,Individual Permit
"08000220001",1067012,CO,CO0040789,NPDES,Individual Permit
"04002710001",1069677,AZ,AZ0025186,NPDES,Individual Permit
"04002710001",1069677,AZ,P100791  ,Non-NPDES,State
"04002710001",1069677,AZ,P105254,Non-NPDES,State
"34003079003",1073641,NJ,NJS114308,Non-NPDES,Permit not found in NPDES lookup
"34003079003",1073641,NJ,NJ0026018,NPDES,Individual Permit
"34005018001",1073740,NJ,NJ0024651,NPDES,Individual Permit
"34001333011",442693,NJ,NJG149811,NPDES,General Permit Covered Facility
"34007092001",1073866,NJ,NJ0022519,NPDES,Individual Permit
"12000052002",1078172,FL,FLA010139,Non-NPDES,Permit not found in NPDES lookup
"12000190001",1078349,FL,FL0172090,NPDES,Individual Permit
"34006220011",444197,NJ,NJG151009,NPDES,General Permit Covered Facility
"39000016001",1080438,OH,OH0119041,NPDES,Individual Permit
"39000035001",1080457,OH,OH0048691,NPDES,Individual Permit
"39000198001",1080620,OH,OH0107204,NPDES,Individual Permit
"39000353001",1080764,OH,OH0138827,NPDES,Individual Permit
"39000359001",1080770,OH,OH0024872,NPDES,Individual Permit
"39000386001",1080799,OH,OH0020320,NPDES,Individual Permit
"02100000002",3613241,AK,AK0020648,NPDES,Individual Permit
"39003907001",1081139,OH,OH0025895,NPDES,Individual Permit
"39004837001",1081240,OH,OH0051144,NPDES,Individual Permit
"39008135001",1081605,OH,OH0050661,NPDES,Individual Permit
"39008582001",1081646,OH,OH0029394,NPDES,Individual Permit
"26000130001",1088373,MI,MI0021482,NPDES,Individual Permit
"26000259001",1088446,MI,MIG580130,NPDES,Individual Permit
"26000490001",1088553,MI,MIG580307,NPDES,Individual Permit
"26000927001",1088651,MI,MIG580092,NPDES,Individual Permit
"26003128001",1088915,MI,MIG580382,NPDES,Individual Permit
"02100000003",3613242,AK,AKG003052,NPDES,General Permit Covered Facility
"25000063001",1092364,MA,MA0101478,NPDES,Individual Permit
"50000006001",1094057,VT,VT0100641,NPDES,Individual Permit
"50000032003",1094082,VT,VT0100978,NPDES,Individual Permit
"50000067001",1094118,VT,VT0100331,NPDES,Individual Permit
"54001720001",1094862,WV,WV0081001,NPDES,Individual Permit
"54002012002",1094903,WV,WV0035068,NPDES,Individual Permit
"54002408001",1094969,WV,WV0021865,NPDES,Individual Permit
"54003011001",1095061,WV,WV0023124,NPDES,Individual Permit
"33000071001",1100961,NH,NH0100986,NPDES,Individual Permit
"01000139003",1101973,AL,AL0027723,NPDES,Individual Permit
"01000221001",1102055,AL,AL0023922,NPDES,Individual Permit
"01000285001",1102112,AL,AL0020273,NPDES,Individual Permit
"02000102003",1104786,AK,AKG572004,NPDES,General Permit Covered Facility
"05000211001",1105039,AR,AR0021393,NPDES,Individual Permit
"05000356001",1105171,AR,AR0034614,NPDES,Individual Permit
"13000623001",1109434,GA,GA0031801,NPDES,Individual Permit
"13000864002",1109689,GA,GA0022462,NPDES,Individual Permit
"02000000026",3613246,AK,AKG572045,NPDES,General Permit Covered Facility
"17000094001",1113378,IL,IL0032191,NPDES,Individual Permit
"17000245002",1113525,IL,IL0021083,NPDES,Individual Permit
"17000281001",1113556,IL,ILG580004,NPDES,General Permit Covered Facility
"34001277012",442621,NJ,NJG151211,NPDES,General Permit Covered Facility
"17000386001",1113652,IL,ILG582020,NPDES,General Permit Covered Facility
"17000489001",1113761,IL,IL0020061,NPDES,Individual Permit
"17000511001",1113788,IL,ILG580059,NPDES,General Permit Covered Facility
"17000660001",1113929,IL,IL0026093,NPDES,Individual Permit
"17000721005",1113997,IL,IL0036340,NPDES,Individual Permit
"17001807001",1114111,IL,ILG580062,NPDES,General Permit Covered Facility
"05000000081",3613255,AR,ARR040019,NPDES,General Permit Covered Facility
"48007064004",3537876,TX,TX0057843,NPDES,Individual Permit
"17005211001",1114208,IL,IL0035904,NPDES,Individual Permit
"46000559001",1179405,SD,SDG826450,NPDES,General Permit Covered Facility
"17007708001",1114372,IL,ILG580088,NPDES,General Permit Covered Facility
"17009202001",1114408,IL,ILG580051,NPDES,General Permit Covered Facility
"18000403001",1120184,IN,IN0025801,NPDES,Individual Permit
"18000807001",1120219,IN,IN0038288,NPDES,Individual Permit
