Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Weed City Dept of Public Works,"Po Box 470, Weed, CA 96094",Weed WWTP,"1542 Alameda Street, Weed, CA 96094",41.43869,-122.40343,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,96-07001,1A80191OSIS,,09/26/1996,09/26/1996,,2016-09-24,.378,,B,3,,,,0,0,
Weed City Dept of Public Works,"Po Box 470, Weed, CA 96094",Weed Shastina WWTP,"Highway 97, Weed, CA 96094",41.434853,-122.404647,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNILRG,Active,WDR,96-07002,1A80192OSIS,,09/26/1996,09/26/1996,,2016-09-24,.295,,B,3,,,,0,1,
Montair Subdivision Homeowners Association,"216 Montair Drive, Montague, CA 96064","Montair Subdivision, STP","Highway 3 & Montague  Road, Montague, CA 96064",41.72695,-122.57033,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNIOTH,Active,WDR,81-131,1A81131OSIS,,05/28/1981,05/28/1981,,2019-05-24,.013,,C,3,,,,1,1,
Fort Jones City,"Po Box 40, Fort Jones, CA 96032",Fort Jones City WWTP,"Scott River Road, Fort Jones, CA 96032",41.60539,-122.8588,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNIOTH,Active,WDR,R1-2014-0029,1A81157OSIS,,06/19/2014,06/19/2014,,2024-06-19,.06,,B,2,,,,0,7,
Etna City,"Po Box 460, Etna, CA 96027",Etna STP,"Island  Road, Etna, CA 96027",41.46602,-122.88522,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNIOTH,Active,WDR,R1-2015-0026,1A82104OSIS,,06/18/2015,06/18/2015,,2025-06-18,.130,,B,2,,,,0,10,
Lewiston Community Services District,"Po Box 164, Lewiston, CA 96052","Lewiston CSD WWTP, POTW","Old Lewiston Road at Viola Lane, Lewiston, CA 96052",40.70358,-122.80943,Wastewater Treatment Facility,4952,Trinity,1,WDRMUNIOTH,Active,WDR,R1-2020-0024,1A83052OTRI,,10/15/2020,10/15/2020,,2030-10-15,0.04,,B,2,,,,0,2,
Tulelake City,"Po Box 847, Tulelake, CA 96134",Tulelake City WWTP,"1000 Dean Callas Way, Tulelake, CA 96134",41.94825,-121.47026,Wastewater Treatment Facility,4952,Siskiyou,1,"NPDMUNIOTH, WDRMUNILRG",Active,WDR,R1-2015-0002,1A84002OSIS,CA0023272,03/12/2015,12/13/2017,,2025-03-12,.18,Minor,B,2,,,,1,8,
Crescent City,"377 J Street, Crescent City, CA 95531",Crescent City WWTP,"210 Battery Street, Crescent City, CA 95531",41.747406,-124.201159,Wastewater Treatment Facility,4952,Del Norte,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2023-0039,1A84006ODN,CA0022756,12/12/2023,02/01/2024,,2029-01-31,1.86,Major,A,1,,,,3,131,
Weaverville Sanitary District,"Po Box 1269, Weaverville, CA 96093",Weaverville SD WWTP,"630 Mountain View Street, Weaverville, CA 96093",40.71636,-122.93475,Wastewater Treatment Facility,4952,Trinity,1,WDRMUNILRG,Active,WDR,R1-2018-0004,1A84072OTRI,,04/19/2018,04/19/2018,,2028-04-19,.5,,B,3,,,,0,0,
Yreka City,"701 Fourth Street, Yreka, CA 96097",Yreka City WWTP,"856 North Main  Street, Yreka, CA 96097",41.7441,-122.63073,Wastewater Treatment Facility,4952,Siskiyou,1,"SLIC, WDRMUNILRG",Active,WDR,R1-2021-0016,1A84073OSIS,,06/17/2021,06/17/2021,,2031-06-17,1.4,,B,2,,,,0,0,
Klamath CSD Del Norte Community Development,"Po Box 430, Klamath, CA 95548",Klamath CSD STP (Del Norte Community Development),"Klamath  Boulevard, Klamath, CA 95548",41.53492,-124.04454,Wastewater Treatment Facility,4952,Del Norte,1,WDRMUNIOTH,Active,WDR,84-118,1A84118ODN,,09/27/1984,09/27/1984,,2029-09-25,.002,,C,2,,,,0,0,
Redwood Park CSD,"Po Box 650, Klamath, CA 95548-0083",Redwood Park STP,"101 Highway, Redwood Park, CA 95548",41.67316,-124.11389,Wastewater Treatment Facility,4952,Del Norte,1,WDRMUNIOTH,Active,WDR,R1-1988-0078,1A88030RDN,,06/23/1988,06/23/1988,,2018-09-18,.004,,C,2,,,,0,0,
Tennant CSD,"13515 Tennant Road, Macdoel, CA 96058",Tennant CSD ST/LF,"13515 Tennant, Macdoel, CA 96058",41.588056,-121.90888,Wastewater Treatment Facility,4952,Siskiyou,1,WDRMUNIOTH,Active,WDR,R1-2016-0019,1A88031RSIS,,06/16/2016,06/16/2016,,2026-06-16,.0373,,C,2,,,,0,0,
Ca Dept of Corrections & Rehabilitation,"9838 Old Placerville Road B, Sacramento, CA 95827",CDC Pelican Bay Prison WWTP,"5905 Lake Earl Drive, Crescent City, CA 95532",41.8501,-124.1529,Wastewater Treatment Facility,9223,Del Norte,1,WDRMUNILRG,Active,Waiver,R1-2005-0074,1A89001NDN,,08/24/2005,08/24/2005,,2020-08-23,.75,,B,2,,,,1,36,
Trinity County Waterworks District,"Po Box 217, Hayfork, CA 96041",Trinity County Waterworks District #1 Hayfork WWTP,"502 Tule Creek Road, Hayfork, CA 96041",40.54044,-123.20216,Wastewater Treatment Facility,4952,Trinity,1,"WDRMUNILRG, WDRMUNIOTH",Active,WDR,R1-2012-0105,1A97069RTRI,,12/06/2012,12/06/2012,,2022-12-06,.729,,B,2,,,,0,0,
Bohemian Club,"Po Box 128, Monte Rio, CA 95462",Bohemian Grove,"20601 Bohemian Avenue, Monte Rio, CA 95462",38.4664,-122.9998,Wastewater Treatment Facility,7032,Sonoma,1,WDRMUNIOTH,Active,WDR,R1-2006-0053,1B05160RSON,,08/09/2006,08/09/2006,,2016-08-08,0.072,,B,2,,,,0,0,
Willow Creek CSD,"Po Box 8, Willow Creek, CA 95573",Willow Creek CSD WWTF,"450 Country Club Road, Willow Creek, CA 95573",40.94112,-123.63234,Wastewater Treatment Facility,,Humboldt,1,WDRMUNIOTH,Active,WDR,R1-2024-0005,1B14140RHUM,,02/08/2024,02/08/2024,,2039-02-07,0.038,,B,3,,,,0,0,
Santa Rosa City Utilities Department (Biosolids),"4300 Llano Road, Santa Rosa, CA 95407",Santa Rosa City Biosolids - Brown Farm,"2200 Llano Road, Santa Rosa, CA 95407",38.40587,-122.79465,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNIOTH,Active,Enrollee - WDR,2004-0012-DWQ,1B14141RSON,,,06/06/2007,,2022-06-05,,,B,2,,,,0,0,
Silver Oaks Cellars,"Po Box 558, Geyserville, CA 95448",Silver Oak Cellars - Highway 128 Alexander Valley (Domestic Waste),"7300 Highway 128, Healdsburg, CA 95448",38.6722,-122.80424,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,1B15087RSON,,,05/18/2016,,2021-05-17,0.004025,,B,3,,,,0,0,
Sonoma County Water Agency (SCWA),"404 Aviation Boulevard, Santa Rosa, CA 95403",SCWA Oceanic Properties Sea Ranch Central Plant,"Highway 1 Highway, The Sea Ranch, CA 95445",38.71706,-123.45545,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNIOTH,Active,WDR,96-011,1B71011OSON,,03/28/1996,03/28/1996,,2014-03-26,.015,,B,2,,,,0,3,
US Coast Guard Tracen,"599 Tomales Road, Petaluma, CA 94952-5000",US Coast Guard TRACEN - Tomales,"599 Tomales Road, Petaluma, CA 94952",38.25122,-122.78636,Wastewater Treatment Facility,4952,Sonoma,1,"WDRMUNIENROTH, WDRMUNILRG",Active,WDR,R1-2012-0033,1B72033OSON,,04/26/2012,04/26/2012,,2027-04-25,.1,,B,2,,,,0,1,
USDA Forest Service Six Rivers NF Eureka,"1330 Bayshore Way, Eureka, CA 95501",USFS Orleans Ranger Station STP,"1 Ishi-Pishi Road, Orleans, CA 95556",41.3038,-123.53723,Wastewater Treatment Facility,4952,Humboldt,1,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,97-010-DWQ,1B73118OHUM,,04/24/2008,04/24/2008,,2023-04-24,.015,,B,3,,,,0,0,
Bodega Bay PUD,"Po Box 70, Bodega Bay, CA 94923",Bodega Bay Wastewater Reclamation Facility,"265 Doran Park Road, Bodega Bay, CA 94923",38.31889,-123.03476,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNILRG,Active,WDR,R1-2023-0011,1B75028OSON,,06/15/2023,06/15/2023,,2033-06-15,.2,,B,2,,,,0,2,
Westport CWD,"Po Box 82, Westport, CA 95488",Westport CWD,"Westport, Westport, CA 95488",39.64219,-123.78339,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNIOTH,Active,WDR,96-028,1B75260OMEN,,05/23/1996,05/23/1996,,2018-05-21,.020,,B,2,,,,0,3,
CalFire Fort Bragg Jackson Demonstration State Forest,"23000 Highway 20, Fort Bragg, CA 95437-9540",CDF Parlin Fork Conservation Camp,"23000 East Highway 20, Fort Bragg, CA 95437",39.36955,-123.65624,Wastewater Treatment Facility,9223,Mendocino,1,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,1B77108OMEN,,,03/13/2017,,2022-03-12,.01,,B,3,,,,0,0,
Sonoma County Water Agency (SCWA),"404 Aviation Boulevard, Santa Rosa, CA 95403",SCWA Geyserville CSD,"Geyserville, Geyserville, CA 95441",38.70289,-122.89461,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNIOTH,Active,WDR,R1-2019-0013,1B77117OSON,,06/20/2019,06/20/2019,,2029-06-20,.071,,B,2,,,,0,0,
Calpella CWD,"Po Box 115, Calpella, CA 95418",Calpella CWD WWTP,"5681 North State Street, Ukiah, CA 95482",39.22441,-123.20174,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNIOTH,Active,WDR,R1-2019-0010,1B77162OMEN,,04/18/2019,04/18/2019,,2029-04-18,.08,,B,2,,,,0,9,
Santa Rosa City Dept of Public Works,"69 Stony Circle, Santa Rosa, CA 95401",Santa Rosa City Oakmont Plant,"6200 Stonebridge Road, Santa Rosa, CA 95409",38.44856,-122.62483,Wastewater Treatment Facility,4952,Sonoma,1,WDRMUNILRG,Active,WDR,88-052,1B78209OSON,,04/28/1988,04/28/1988,,2014-04-26,.65,,B,2,,,,0,0,
US Army Corps of Engineers Geyserville,"3333 Skaggs Springs Road, Geyserville, CA 95441",USACOE Lake Sonoma Waste System,"3333 Skaggs Springs Road, Geyserville, CA 95441",38.71644,-122.99773,Wastewater Treatment Facility,7033(+),Sonoma,1,WDRMUNIOTH,Active,WDR,89-040,1B79054OSON,,04/26/1989,04/26/1989,,2014-04-24,.022,,C,3,,,,0,0,
Miranda CSD,"Po Box 160, Miranda, CA 95553",Miranda POTW,"Avenue of the Giants, Miranda, CA 95553",40.23308,-123.82784,Wastewater Treatment Facility,4952,Humboldt,1,WDRMUNIOTH,Active,WDR,R1-2019-0002,1B80002OHUM,,04/18/2019,04/18/2019,,2024-04-17,.046,,B,2,,,,0,16,
Irish Beach Water District,"Po Box 67, Manchester, CA 95459","Irish Beach Subdivision Units 1,2,3,4","Highway 1, Manchester, CA 95459",39.02469,-123.68795,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNIOTH,Active,WDR,93-01001,1B80023OMEN,,01/28/1993,01/28/1993,,2014-01-25,.0001,,C,3,,,,0,0,
Point Arena City,"Po Box 67, Point Arena, CA 95468",Point Arena WWTP,"105 Iverson Avenue, Point Arena, CA 95468",38.90839,-123.6966,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNILRG,Active,WDR,R1-2022-0015,1B80045OMEN,,06/09/2022,06/09/2022,,2032-06-09,.13,,B,2,,,,0,7,
Willits City,"111 East Commercial Street, Willits, CA 95490",Willits City WWTP,"300 North Lenore Street, Willits, CA 95490",39.41935,-123.3422889,Wastewater Treatment Facility,4952,Mendocino,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2021-0021,1B80078OMEN,CA0023060,12/02/2021,02/01/2022,,2027-01-31,1.3,Major,A,2,,,,1,10,
Loleta CSD,"Po Box 236, Loleta, CA 95551",Loleta WWTF,"2656 Eel River Drive, Loleta, CA 95551",40.6383,-124.22553,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2020-0002,1B80081OHUM,CA0023671,04/16/2020,06/01/2020,,2025-05-31,.1,Minor,B,2,,,,2,171,
College of the Redwoods,"7351 Tompkins Hill Road, Eureka, CA 95501","College of the Redwoods, POTW","7351 Tompkins Hill Road, Eureka, CA 95501",40.698944,-124.203269,Wastewater Treatment Facility,8221,Humboldt,1,"NPDMUNIOTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,1B80121OHUM,CA0006700,06/07/2018,06/07/2018,,2023-06-06,0.08,Minor,C,3,,,,1,0,
Hopland Public Utility District,"151 Laws Avenue, Ukiah, CA 95482",Hopland Public Utilities District,"Highway 101, Hopland, CA 95449",38.96684,-123.11246,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNIOTH,Active,WDR,R1-2023-0013,1B80154OMEN,,06/15/2023,06/15/2023,,2033-06-07,.06,,B,2,,,,0,22,
Manila CSD,"1901 Park Street, Arcata, CA 95521",Manila CSD WWTP,"365 Lupin Drive, Arcata, CA 95521",40.85109,-124.16887,Wastewater Treatment Facility,4952,Humboldt,1,WDRMUNILRG,Active,WDR,R1-2023-0003,1B80162OHUM,,06/15/2023,06/15/2023,,2038-06-15,.14,,B,3,,,,0,0,
North Marin County Water District,"Po Box 146, Novato, CA 94948",Oceana Marin (North Marin CWD),"Ocean View Boulevard, Dillon Beach, CA 94929",38.25667,-122.95904,Wastewater Treatment Facility,4952,Marin,1,WDRMUNIOTH,Active,WDR,92-057,1B80173OMAR,,06/25/1992,06/25/1992,,2014-06-23,.053,,B,2,,,,0,16,
Blue Lake City,"Po Box 458, Blue Lake, CA 95525",Blue Lake City POTW,"100 Wastewater Way, Blue Lake, CA 95525",40.88588,-124.00186,Wastewater Treatment Facility,4952,Humboldt,1,WDRMUNILRG,Active,WDR,R1-2012-0050,1B81129OHUM,,06/07/2012,06/07/2012,,2022-06-07,.18,,B,2,,,,0,0,
Windsor Water District,"Po Box 100, Windsor, CA 95492-0100","Windsor Wastewater Treatment, Reclamation, and Disposal Facility","8400 Windsor Road, Windsor, CA 95492",38.538307,-122.816771,Wastewater Treatment Facility,4952,Sonoma,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2020-0010,1B82037OSON,CA0023345,08/20/2020,10/01/2020,,2025-09-30,2.25,Major,A,1,,,,1,46,
Sonoma County Water Agency (SCWA),"404 Aviation Boulevard, Santa Rosa, CA 95403",SCWA Russian River CSD,"18400 Neely Road, Guerneville, CA 95446",38.485295,-123.000878,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2021-0002,1B82045OSON,CA0024058,06/17/2021,08/01/2021,,2026-07-31,.71,Minor,A,1,,,,1,34,
Healdsburg City,"401 Grove Street, Healdsburg, CA 95448",Healdsburg City WWTP,"340 Foreman Lane, Healdsburg, CA 95448",38.58393,-122.86181,Wastewater Treatment Facility,4952,Sonoma,1,"NPDESWW, NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2022-0017,1B82046OSON,CA0025135,10/07/2022,12/01/2022,,2027-11-30,1.4,Major,A,1,,,,0,2,
Caspar South Water District,"14140 Hilma Circle, Mendocino, CA 95460",Caspar South Water District,"14140 Hilma Circle, Mendocino, CA 95460",39.355221,-123.816529,Wastewater Treatment Facility,4952,Mendocino,1,WDRMUNIOTH,Active,WDR,82-076,1B82076OMEN,,07/22/1982,07/22/1982,,2027-07-04,.013,,C,2,,,,0,5,
McKinleyville Community Service District,"Po Box 2037, Mckinleyville, CA 95519",McKinleyville WWTP,"675 Hiller Road, Mckinleyville, CA 95521",40.942438,-124.1224326,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH, SLIC",Active,NPDES Permit,R1-2024-0023,1B82084OHUM,CA0024490,06/13/2024,08/01/2024,,2029-07-31,1.61,"Major, Minor",A,2,,,,1,2,
Arcata City,"736 F Street, Arcata, CA 95521",Arcata City WWTF,"600 South G Street, Arcata, CA 95521",40.86643,-124.08665,Wastewater Treatment Facility,4952,Humboldt,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B82114OHUM,,,07/09/2020,,,,Major,,,,,,3,184,
Eureka City,"531 K Street, Eureka, CA 95501",Eureka City Elk River WWTP,"4301 Hilfiker Lane, Eureka, CA 95501",40.767,-124.195,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, SLIC, WDRMUNIENROTH",Active,NPDES Permit,R1-2023-0016,1B82151OHUM,CA0024449,10/05/2023,12/01/2023,,2028-11-30,5.24,Major,A,1,,,,3,51,
Covelo CSD,"Po Box 65, Covelo, CA 95428",Covelo POTW,"75997 Commercial Street, Covelo, CA 95428",39.78761,-123.24819,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2023-0006,1B83009OMEN,CA0023574,06/15/2023,08/01/2023,,2028-07-31,.077,Minor,B,2,,,,2,56,
"VR Acquisition, LLC","4350 Barnes Road, Santa Rosa, CA 95403",Vintners Inn,"4350 Barnes Road, Santa Rosa, CA 95403",38.49554,-122.75944,Wastewater Treatment Facility,7011,Sonoma,1,"WDR, WDRMUNIOTH",Active,WDR,R1-2002-0087,1B83045OSON,,09/26/2002,09/26/2002,,2012-09-26,.0125,,C,2,,,,0,11,
Santa Rosa City Dept of Public Works,"69 Stony Circle, Santa Rosa, CA 95401",Santa Rosa Laguna Subregional Water Reclamation Facility,"4300 Llano Road, Santa Rosa, CA 95407",38.36877,-122.76594,Wastewater Treatment Facility,4952,Sonoma,1,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,NPDES Permit,R1-2020-0012,1B83099OSON,CA0022764,08/20/2020,10/01/2020,,2025-09-30,21.34,Major,A,1,,,,2,63,
Forestville Water District,"Po Box 261, Forestville, CA 95436",Forestville Water District,"6194 Forestville Street, Forestville, CA 95436",38.469722,-122.889722,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2024-0004,1B83100OSON,CA0023043,04/04/2024,06/01/2024,,2029-05-31,.13,Minor,B,1,,,,0,50,
"Scotia Town, LLC","Po Box 245, Scotia, CA 95565",Scotia Town - City,"Williams Street, Scotia, CA 95565",40.485278,-124.1025,Wastewater Treatment Facility,,Humboldt,1,NPDMUNIOTH,Active,Co-Permitee,R1-2012-0065,1B83104OHUM,CA0006017,04/26/2012,07/01/2012,,2017-06-30,.282,Minor,B,2,,,,1,41,
Mendocino County WWD #2 Anchor Bay,"35501 South Hwy 1 Unit #4, Gualala, CA 95445",Mendocino County WWD#2-Anchor Bay,"46890 Getchell Gulch Road, Gualala, CA 95445",38.80352,-123.57286,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2021-0005,1B83118OMEN,CA0024040,04/15/2021,06/01/2021,,2026-05-31,.024,Minor,B,2,,,,0,17,
Garberville Sanitary District,"Po Box 211, Garberville, CA 95542",Garberville POTW,"410 Bear Canyon Road, Garberville, CA 95560",40.10471,-123.80029,Wastewater Treatment Facility,4952,Humboldt,1,"WDRMUNILRG, WDRMUNIOTH",Active,WDR,R1-2018-0033,1B83120OHUM,,09/06/2018,09/06/2018,,2028-09-06,.162,,B,2,,,,0,0,
Mendocino City CSD,"Po Box 1029, Mendocino, CA 95460",Mendocino City CSD,"10500 Kelly Street, Mendocino, CA 95460",39.305282,-123.806256,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2022-0001,1B83129OMEN,CA0022870,08/04/2022,10/01/2022,,2027-09-30,0.3,Minor,B,2,,,,0,7,
Rio Dell City,"675 Wildwood Avenue, Rio Dell, CA 95562",Rio Dell City WWTF,"475 Hilltop Drive, Rio Dell, CA 95562",40.49716,-124.09453,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH, WDRMUNIENROTH",Active,NPDES Permit,R1-2023-0022,1B83134OHUM,CA0022748,10/05/2023,12/01/2023,,2028-11-30,0.9,"Major, Minor",A,2,,,,3,66,
Fortuna City,"Po Box 545, Fortuna, CA 95540",Fortuna City WWTP,"180 Dinsmore, Fortuna, CA 95540",40.59083,-124.15844,Wastewater Treatment Facility,4952,Humboldt,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,1B83135OHUM,,,07/09/2020,,,,Major,,,,,,4,45,
Ferndale City,"Po Box 1095, Ferndale, CA 95536",Ferndale City POTW,"701 Port Kenyon Road, Ferndale, CA 95536",40.59299,-124.25944,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH",Active,NPDES Permit,R1-2018-0046,1B83136OHUM,CA0022721,11/14/2018,01/01/2019,,2022-12-31,.576,"Major, Minor",A,2,,,,1,114,
Redway CSD,"Po Box 40, Redway, CA 95560",Redway POTW,"2750 Briceland-Thorne Road, Redway, CA 95560",40.129442,-123.824355,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2023-0004,1B83147OHUM,CA0022781,02/02/2023,04/01/2023,,2028-03-31,.19,Minor,B,2,1250,,,1,50,
Ukiah City,"300 Seminary Avenue, Ukiah, CA 95482",Ukiah City WWTP,"300 Treatment Plant Road, Ukiah, CA 95482",39.11233,-123.19158,Wastewater Treatment Facility,4952,Mendocino,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2024-0016,1B84029OMEN,CA0022888,08/15/2024,10/01/2024,,2029-09-30,3.01,Major,A,1,,,,2,51,
Cloverdale City,"Po Box 217, Cloverdale, CA 95425-0217",Cloverdale City WWTP,"700 Asti Road, Cloverdale, CA 95425",38.79721,-123.01151,Wastewater Treatment Facility,4952,Sonoma,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B84032OSON,,,07/09/2020,,,,Major,,,,,,0,1,
Graton CSD,"Po Box 534, Graton, CA 95444",Graton CSD,"250 Ross, Sebastopol, CA 95472",38.44973,-122.88082,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2018-0001,1B84060OSON,CA0023639,05/17/2018,08/01/2018,,2023-07-31,.14,Minor,B,1,,,,2,46,
Fort Bragg City,"416 North Franklin Street, Fort Bragg, CA 95437",Fort Bragg City WWTP,"281 Jere Melo Street, Fort Bragg, CA 95437",39.4387,-123.81478,Wastewater Treatment Facility,4952,Mendocino,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B84083OMEN,,,07/09/2020,,,,"Major, Minor",,,,,,2,32,
Humboldt County Resort Improvement District #1,"9126 Shelter Cove Road, Whitethorn, CA 95589",Shelter Cove POTW,"9126 Shelter Cove Drive, Shelter Cove, CA 95589",40.03333,-124.07778,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2022-0002,1B84086OHUM,CA0023027,02/03/2022,04/01/2022,,2027-03-31,.17,Minor,B,2,,,,0,5,
