WDID,Place ID,Facility Name,NPDES No.,Region,Latitude_CIWQS,Longitude_CIWQS,Latitude_CWNS,Longitude_CWNS,CWNS_ID,FACILITY_ID,CWNS Facility Name
5A520100001,215750,City of Corning WWTP,CA0004995,5R,39.914327,-122.12076,39.9139,-122.1027,06005245002,1175731,Corning WWTP
2 417037001,255833,SVCW WWTP,CA0038369,2,37.542547,-122.229247,37.545224,-122.227492,06000000171,3609136,Silicon Valley Clean Water
3 440124003,255632,Santa Cruz WWTP,CA0048194,3,36.961587,-122.030999,36.961685,-122.030345,06003010001,1175379,SANTA CRUZ WWTF
2 417068001,255139,SAM WWTP (Sewer Authority Mid-Coastside WWTP),CA0038598,2,37.47293,-122.44398,37.4753,-122.4388,06002058001,1175315,Sewer Authority Mid-Coastside WWTF
2 019033001,220792,Dublin San Ramon SD WWTP,CA0037613,2,37.68709,-121.91506,37.6894,-121.9147,06002006001,1175267,Dublin-San Ramon WWTF
1B82046OSON,229922,Healdsburg City WWTP,CA0025135,1,38.58393,-122.86181,38.5824,-122.8695,06001082001,1175233,HEALDSBURG WWTF
2 071032001,217831,City of Pinole WWTP,CA0037796,2,38.01292,-122.29663,38.0129,-122.2963,06002120001,1175354,Pinole-Hercules Water Pollution Control Plant
2 019032001,246217,Oro Loma/Castro Valley SD WPCP,CA0037559,2,37.669626,-122.157253,37.667822,-122.159128,06000000068,3606909,Oro Loma and Castro Valley Sanitary Districts (WPCP)
2 438011001,247457,Palo Alto Regional WQCP,CA0037834,2,37.451426,-122.10817,37.4583,-122.1108,06002012001,1175273,Palo Alto Regional WQCP
2 071034001,248886,Port Costa WWTP,CA0037885,2,38.04834,-122.18397,38.0482,-122.1839,06002021001,1175279,Port Costa WWTF
3 420107001,241288,Montecito SD WWTP,CA0047899,3,34.42059,-119.65052,34.4208504,-119.650533,06003053001,1175421,MONTECITO WWTF
3 420105001,237315,Lompoc City Regional Wastewater Reclamation Plant,CA0048127,3,34.66213,-120.483039,34.662473,-120.481245,06003050001,1175418,City of Lompoc WWTP
3 401013001,230132,Heritage Ranch WWTP,CA0048941,3,35.722487,-120.88405,35.7208,-120.8838,06003033001,3486842,Heritage Ranch Sewer Treatm Plant
3 400322963,882248,City of Morro Bay Water Reclamation Facility,CA3000002,3,35.36495,-120.82323,35.38,-120.8601,06003014001,1175382,Morro Bay Cayucos WWTF
3 400110001,255462,San Simeon WWTP,CA0047961,3,35.6118,-121.14553,35.6116,-121.1462,06003036001,1175401,SAN SIMEON ACRES WWTF
2 215116001,213889,Central Marin San. Agcy. WWTP,CA0038628,2,37.948581,-122.497326,37.948445,-122.495724,06002044004,1175304,Central Marin San. Agency WWTF
2 417035001,255420,San Mateo WWTP,CA0037541,2,37.56945,-122.29668,37.5694,-122.2966,06002043001,1175301,San Mateo WWTF
2 417032001,256507,SF Airport Mel Leong TP-Sanitary Waste,CA0038318,2,37.63731,-122.38466,37.6216,-122.3996,06002123001,1175357,S.F. International Airport WQCP
2 417037001,255833,SVCW WWTP,CA0038369,2,37.542547,-122.229247,37.5446859,-122.2286944,06002125001,1175358,S BAYSIDE WWTP
2 482012001,270006,Vallejo Flood & Wastewater District (VFWD) WWTP,CA0037699,2,38.091264,-122.251126,38.0841973,-122.2617489,06002047001,1175307,VSFCD WWTF
2 482001001,209253,Benicia WWTP,CA0038091,2,38.045819,-122.150579,38.044762,-122.146533,06002082001,1175340,BENICIA WWTF
2 438018001,259507,Sunnyvale WPCP,CA0037621,2,37.4189,-122.01606,37.418845,-122.015362,06002008001,1175269,"Sunnyvale, City of (WPCP)"
2 438014001,255333,San Jose/Santa Clara WPCP,CA0037842,2,37.431979,-121.953651,37.433806,-121.944809,06002041001,1175299,San Jose/Santa Clara WPCP
2 417021002,244566,North San Mateo County Sanitation District WWTP,CA0037737,2,37.70279,-122.48501,37.702336,-122.484233,06002040001,1175298,North San Mateo County Sanitation District WWTP
2 283009001,243858,Napa Sanitation District WWTP (Soscol Water Recycling Facility),CA0037575,2,38.23651,-122.28434,38.2356096,-122.2843624,06002033001,1175290,NAPA SANIT. DIST WWRF
2 019014001,222132,EBMUD WPCP,CA0037702,2,37.824928,-122.293919,37.8232,-122.2976,06002036001,1175294,East Bay MUD Main WWTP
5A520102001,240864,Mineral WWTP,CA0084069,5R,40.34833,-121.62444,40.347092,-121.614844,06000000302,3612659,Mineral Wastewater Treatment Plant
4B190106002,232063,Hyperion WWTP,CA0109991,4,33.924482,-118.431805,33.9308,-118.4349,06004010001,1175491,Hyperion WRP
5A31NP00001,206730,Thunder Valley Casino WWTP,CAC442169,5S,38.839045,-121.307402,,,,,
5A310106001,220768,Dry Creek WWTP,CAC426201,5S,38.73647,-121.313656,38.737348,-121.316614,06005227001,1238820,Dry Creek WWTP
5A290104003,236236,Lake of the Pines WWTP,CAC439955,5S,39.03414,-121.08119,39.0407,-121.0669,06005421001,1175804,Lake of the Pines WWTP
5A470101001,220850,Dunsmuir WWTP,CA0078441,5R,41.201809,-122.272443,41.1836,-122.2842,06005204001,1175707,DUNSMUIR WWTF
5A31NP00042,206733,Auburn WWTP,CAC448871,5S,38.883523,-121.107111,38.884569,-121.108174,06005040001,1175560,AUBURN WWTF
4B190106001,235738,Los Angeles-Glendale WWRP,CA0053953,4,34.14081,-118.273975,34.1412,-118.2731,06004010003,1175493,L.A.-Glendale WRP
5A31NP00011,238365,Lincoln City WWTF,CA0084476,5S,38.897257,-121.335423,38.8972,-121.3272,06005234001,1238821,LINCOLN WWTF
5A040106001,246251,Sewerage Commission Oroville Region WWTP,CA0079235,5R,39.4863584,-121.5656332,39.4857,-121.5634,06005088002,1175609,Sewerage Commis.-Oroville Reg. WWTP
4B190106004,267571,Donald C. Tillman WWRP,CA0056227,4,34.179565,-118.481951,34.1801,-118.4827,06004010004,1175494,Tillman WRP
4A560107009,271054,Ventura WRF,CA0064726,4,34.23639,-119.25861,34.24,-119.2612,06004006001,1175461,Ventura Water Reclamation Facility
4B190137001,273663,Edward C. Little Water Recycling Plant (Recycled Water Irrigation),CA0063401,4,33.907954,-118.394561,,,,,
4B190107048,242162,Malibu Mesa WRP,CA0059099,4,34.035694,-118.710344,34.036320,-118.698617,06004008010,1175469,MALIBU WWTF
4B190107015,238646,Los Coyotes WRP,CA0054011,4,33.87972,-118.10722,33.8799,-118.1035,06004009005,1175481,LACSD (Los Coyotes WRP)
5A040102001,271805,Chico Water Pollution Control Plant,CA0079081,5R,39.700058,-121.908067,39.6996,-121.9108,06005011001,1175532,Chico WPCP
4B190101001,212135,Burbank WRP,CA0055531,4,34.18195,-118.319332,34.1822,-118.3181,06004032001,1175516,Burbank WRP
4B190100001,208276,Avalon WWTF,CA0054372,4,33.342175,-118.318494,33.344260,-118.322239,06004016001,1175503,AVALON WWRF
4B190107020,260156,San Jose Creek Water Reclamation Plant,CA0053911,4,34.035108,-118.023042,34.0322,-118.0212,06004009003,1175479,LACSD (San Jose Creek WRP)
5A090100001,229595,Hangtown Creek WRF,CAC439621,5S,38.7317504,-120.8476377,38.7308,-120.8467,06005329001,1175773,Hangtown Creek WWTP
5A290107002,213432,Cascade Shores WWTP,CAC442921,5S,39.25995,-120.90683,39.2587,-120.9061,06005682001,1175846,Cascade Shores WWTP
4A560104001,246616,Ojai Valley WWTP,CA0053961,4,34.34376667,-119.29798333,34.346767,-119.296803,06004002001,1175457,OJAI VALLEY SD WWTF
5A290104001,236292,Lake Wildwood WWTP,CAC439953,5S,39.231055,-121.21842,39.2348,-121.2187,06005681001,1175845,Lake Wildwood WWTP
5A290101001,244141,Nevada City WWTP,CA0079901,5S,39.25975,-121.03075,39.2598,-121.0308,06005200001,1175704,NEVADA CITY WWTF
4A560105001,246946,Oxnard WWTP,CA0054097,4,34.141648,-119.185403,34.141610,-119.185739,06004027001,1175513,Oxnard WWTP
5A060101001,215225,City of Colusa WWTP,CA0078999,5S,39.197222,-122.283333,39.187861,-122.023387,06005041001,1175561,Colusa WWTP
4A190118001,658148,Newhall Ranch WRP,CA0064556,4,34.403166,-118.6896667,,,,,
5A250100001,205325,Alturas Municipal WWTP,CA0078921,5R,41.483391,-120.543491,41.4733,-120.558,06005240001,1175727,Alturas WWTP
5A110101001,272704,Willows WWTP,CAC447786,5R,39.502178,-122.192433,39.4996,-122.1886,06005035001,1175556,WILLOWS WWTF
5A290100001,227818,Grass Valley City WWTP,CAC446876,5S,39.20571,-121.06859,39.206129,-121.068681,06005198001,1175702,Grass Valley WWTF
4B190106005,267130,Terminal Island Water Reclamation Plant,CA0053856,4,33.748967,-118.25265,33.7453,-118.261,06004010002,1175492,Terminal Island WRP
4B190107016,235826,Whittier Narrows Water Reclamation Plant,CA0053716,4,34.032712,-118.068302,34.0302,-118.0671,06004009004,1175480,LACSD (Whittier Narrows WRP)
4B190107014,238562,Long Beach WRP,CA0054119,4,33.800781,-118.088048,33.8042,-118.0882,06004009006,1175482,LACSD (Long Beach WRP)
4B190107013,234156,A.K. Warren Water Resource Facility,CA0053813,4,33.802811,-118.283795,33.8044,-118.2839,06004009001,1175477,LACSD (Joint Water Pollution Control Plant)
5A340108002,254981,EchoWater Resource Recovery Facility,CA0077682,5S,38.44865,-121.46367,38.4485,-121.4617,06005009001,1175529,Sacramento Regional County Sanitation District (Sacramento Regional Treatment Plant)
5B050103001,255180,San Andreas SD WWTP,CA0079464,5S,38.210833,-120.705556,38.2023,-120.6889,06005162001,1175680,San Andreas Sanitary District WWTP
5A520101001,252119,Red Bluff WW Reclamation Plant,CA0078891,5R,40.162944,-122.221228,40.1625,-122.2167,06005368001,1175795,RED BLUFF WWTF
5B02NP00001,209035,Bear Valley WWTF,CA0085146,5S,38.45584,-120.0362,38.466207,-120.038906,06005114001,1175645,BEAR VALLEY WWTF
5A570100001,219223,City of Davis WWTP,CA0079049,5S,38.59316,-121.67089,38.5906,-121.6708,06005205001,1175708,"Davis, City of WWTP"
1B82045OSON,256061,SCWA Russian River CSD,CA0024058,1,38.485295,-123.000878,,,,,
5B05NP00007,205793,Angels City WWTP,CA0085201,5S,38.058126,-120.541998,38.058687,-120.540614,06005187001,1175696,ANGELS CAMP WWTF
4A190107023,270849,Valencia WRP,CA0054216,4,34.429975,-118.591001,34.4324,-118.5919,06004009008,1175484,LACSD (Valencia WRP)
5B05NP00014,717684,Forest Meadows WWRP,CA0085278,5S,38.16368,-120.41881,38.1499,-120.4419,06005082021,3489196,Forest Meadows STP
5A480104001,252771,Beach WWTF,CA0079588,5S,38.150105,-121.695111,38.1453,-121.6954,06005253001,1175738,RIO VISTA WWTF
5A480105002,222057,Easterly WWTP,CA0077691,5S,38.345504526656,-121.903859722691,38.3453,-121.9042,06005184001,1175693,Easterly Wastewater Treatment Plant
4A190107021,260494,Saugus Water Reclamation Plant,CA0054313,4,34.413831,-118.539766,34.4127,-118.5393,06004009007,1175483,LACSD (Saugus WRP)
5A470105001,241800,Mount Shasta WWTP,CA0078051,5R,41.278084,-122.302111,41.2928,-122.3122,06005157001,1175675,Mt. Shasta WWTF
5A450103004,258676,Stillwater WWTF,CA0082589,5R,40.4722,-122.294071,40.4969,-122.3565,06005098002,3479031,Stillwater WWTF
5A450105001,256627,Shasta Lake WWTF,CA0079511,5R,40.664722,-122.379444,40.6855,-122.391,06005232001,1175720,SHASTA LAKE WWTF
5A450103001,214802,Clear Creek WWTP,CA0079731,5R,40.502262,-122.369704,40.496917,-122.356472,06005098001,1175618,Clear Creek WWTF
5A480108001,266439,Northwest WWTF,CA0083771,5S,38.193879,-121.712801,,,,,
5A340114001,215236,Sac City Combined WW Collection/TRT Sys,CA0079111,5S,38.521584,-121.506797,,,,,
5A450001005,215903,Cottonwood WWTP,CA0081507,5R,40.385314,-122.267358,40.3855,-122.2672,06005285001,1238823,Cottonwood WWTP
5A320103001,251217,American Valley WWTP,CA0078981,5R,39.953802,-120.933363,39.9457,-120.9408,06005243001,1175729,QUINCY TREATMENT PLANT
5A570800001,268926,UC Davis Main WWTP,CA0077895,5S,38.52227,-121.75569,,,,,
5A580100002,237060,Linda Cnty Water District WWTP,CA0079651,5S,39.0977967,-121.5844613,39.101458,-121.580780,06005257001,1175740,LINDA WWTF
5A580102001,245949,Olivehurst WWTP,CA0077836,5S,39.06506,-121.55068,39.065148,-121.550546,06005031001,1175553,OLIVEHURST WWTF
5A581007001,229559,Hammonton Gold Village WWTP,CA0081574,5S,39.1945413,-121.3068047,,,,,
5A510100001,214647,Live Oak City WWTP,CAC444735,5S,39.275407,-121.661039,39.2594,-121.6786,06005024001,1175545,Live Oak WWTP
5A320102001,248936,Portola WWTP,CA0077844,5R,39.805013,-120.471338,39.80548,-120.47149,06005018001,1175539,PORTOLA WWTF
5A450100001,205741,Anderson WPCP,CA0077704,5R,40.466044,-122.280904,40.465429,-122.276266,06005023002,1175544,Anderson WWTF
5A510101001,274556,Yuba City WWTF,CA0079260,5S,39.10729,-121.61249,39.1075,-121.6123,06005081001,1175598,Yuba City WRP
5B070101001,210322,Brentwood WWTP,CA0082660,5S,37.95792,-121.68634,37.9579278,-121.6885454,06005061001,1238816,Brentwood WWTP
5B070105003,220315,Discovery Bay WWTP,CA0078590,5S,37.8145,-121.6169,37.9252742,-121.6412752,06000000099,3607878,Town of Discovery Bay (Plant 1)
5B070105003,220315,Discovery Bay WWTP,CA0078590,5S,37.8145,-121.6169,37.8894329,-121.5861765,06000000098,3607877,Town of Discovery Bay (Plant 2)
5B07NP00013,232656,Ironhouse WWTF,CA0085260,5S,38.00115,-121.7023,38.0444,-121.6944,06002090001,3521216,Ironhouse WRF
5A321010001,219530,Delleker WWTP,CA0081744,5R,39.80371,-120.50032,39.8076607,-120.4630672,06005294001,3478111,Delleker WWTF
5B090102001,219398,Deer Creek WWTP,CAC433255,5S,38.62947,-120.98715,38.628522,-120.985340,06005249001,1175733,Deer Creek WWTP
2 071107001,215234,West County Agency Outfall,CA0038539,2,37.920896,-122.378081,37.9732,-122.3371,06002057001,1175314,West County Plant
5B390104001,239343,City of Manteca WW Quality Control Facility,CA0081558,5S,37.79559,-121.26001,37.7958,-121.2606,06005146001,1175666,Manteca WQCF
5C10NP00012,214899,Clovis WWTF,CA0085235,5F,36.79481,-119.61455,,,,,
9 000000030,222754,Encina Ocean Outfall,CA0107395,9,33.11658,-117.32166,33.1188,-117.3235,06009011001,1176042,Encina WPCF
5C500102001,241146,City of Modesto WQCF,CAC448536,5S,37.613764,-121.011772,37.6137,-121.0118,06005065001,1175586,"Modesto, City of (Sutter WWTF)"
9 000000117,222509,El Toro WD WRP,CA0107611,9,33.620609,-117.731458,33.619212,-117.726477,06008100001,1176031,El Toro Water District (Water Reclamation Plant)
5D150118002,273191,Stallion Springs WWTF,CAC439983,5F,35.08252,-118.637492,35.0824,-118.6371,06005783001,1175853,Stallion Springs CSD WWTF
9 000000117,237396,IRWD Los Alisos WRP,CA0107611,9,33.66798,-117.76688,33.636488,-117.717390,06009076001,1176095,Los Alisos WRP
7A130102041,212739,Calipatria City WWTP,CA0105015,7,33.1478,-115.55137,33.147532,-115.54533,06007007001,1175913,CALIPATRIA WWTF
9 000000175,236649,J.B. Latham Wastewater Treatment Plant,CA0107417,9,33.466838,-117.685495,33.466569,-117.684742,06009019001,1176050,South Orange County Wastewater Authority  (Latham WWTP)
7A130105011,230588,Holtville City WWTP,CA0104361,7,32.82572,-115.42993,32.8257,-115.4297,06007013001,1175921,HOLTVILLE WWTF
2 01NPI441309,879361,"San Leandro, City of",CA0038881,2,37.7134,-122.2005,37.714814,-122.193031,06002042001,1175300,"San Leandro, City of (WPCP)"
7A130112012,272291,Westmorland City WWTP,CA0105007,7,33.037306,-115.630083,33.0323,-115.6301,06007019001,1175928,WESTMORLAND WWTF
7A130109011,244348,Niland SD WWTP,CA0104451,7,33.227333,-115.561667,,,,,
7A130703011,269449,US Navy Naval Air Facility WWTP,CA0104906,7,32.83863,-115.68086,,,,,
7A130106011,232297,Imperial City WWTP,CA0104400,7,32.853917,-115.56275,32.8537,-115.5639,06007014001,1175922,IMPERIAL WWTF
9 000000030,213270,Carlsbad WRF,CA0107395,9,33.114837,-117.319736,,,,,
2 215022001,244705,Novato and Ignacio WWTP,CA0037958,2,38.10034,-122.55298,38.100396,-122.553231,06002071001,1175331,Novato WWTF
2 482005001,225526,Fairfield-Suisun Sewer District Subregional WWTP,CA0038024,2,38.222082,-122.077374,38.2203,-122.0803,06002038001,1175296,Fairfield-Suisun Sewer District
7A131001011,215925,Country Life MHPRV Asset Partners LP WWTP,CA0104264,7,32.781111,-115.503139,,,,,
7A131057011,219146,Date Gardens MHP WWTP,CA0104841,7,32.79716,-115.62129,,,,,
7A330105091,216446,Coachella Valley WD WWTP,CA0104973,7,33.353111,-116.121389,,,,,
8 300110002,758392,OCSD Plant 1,CA0110604,8,33.69189,-117.93927,33.692,-117.939,06008022001,1175976,OCSD WRP No. 1
8 300110002,259158,OCSD Plant 2,CA0110604,8,33.63745,-117.96124,33.637596,-117.958274,06008022002,1175977,OCSD WWTP No. 2
5B390108001,266223,Tracy WWTP,CA0079154,5S,37.76519,-121.42489,37.7656,-121.4208,06005105001,1175637,Tracy WWTP
7A130104011,229967,Heber PUD WWTP,CA0104370,7,32.736639,-115.523917,32.7364,-115.5251,06007011001,1238829,HEBER WWTF
5D540132001,273166,Cutler-Orosi WWTF,CA0081485,5F,36.52323,-119.30489,36.5231,-119.3049,06005226001,1175717,Cutler-Orosi WWTF
7A130111013,256217,Seeley CWD WWTP,CA0105023,7,32.79427,-115.69997,32.7958,-115.6957,06007018001,1175927,SEELEY CWD WWTF
8 362918001,259184,IEUA Carbon Canyon WWRF,CA8000409,8,33.981437,-117.694789,34.0133,-117.3556,06008010006,3486596,IEUA Carbon Canyon WRF
8 362918001,259165,IEUA Regional Plant No. 1,CA8000409,8,34.027852,-117.600396,34.026824,-117.598922,06008010001,1175959,IEUA Regional Plant No.1
8 362918001,259166,IEUA Regional Plant No. 2,CA8000409,8,,,,,,,
8 362918001,742794,IEUA Regional Plant No. 4,CA8000409,8,34.084564,-117.525855,,,,,
8 362918001,259169,IEUA Regional Plant No. 5,CA8000409,8,33.965592,-117.673391,33.9683,-117.6749,06008010005,3486593,IEUA Regional Plant No.5
9 000000146,245795,Oceanside Ocean Outfall,CA0107433,9,33.2451823,-117.3310785,33.1802,-117.371,06009041001,1176079,"Oceanside, City of (La Salina WWTF)"
7A130103011,222407,El Centro City WWTP,CA0104426,7,32.8145,-115.578194,32.8164,-115.5787,06007002001,1175909,EL CENTRO WWTF
9 000000146,245795,Oceanside Ocean Outfall,CA0107433,9,33.2451823,-117.3310785,33.180233,-117.370986,06009041002,1176080,"Oceanside, City of (San Luis Rey WWTF)"
9 000004038,897869,East County Advanced Water Purification (AWP) Project,CA9000001,9,32.86596,-117.00634,,,,,
9000003903,206164,Arcata City WWTF,CA0022713,,40.855111,-124.088430,40.855111,-124.088430,06001047001,1175213,Arcata WWTF
7A130100011,210272,Brawley City WWTP,CA0104523,7,33.01713,-115.51704,33.016149,-115.517775,06007022001,1175930,Brawley WWTP
7A131337001,213850,CA Dept of Corrections Centinela WWTP,CA7000001,7,32.792028,-115.774306,,,,,
3 400108001,212681,California Men's Colony WWTP,CA0047856,3,35.32427,-120.75209,,,,,
5B05NP00001,215671,Copper Cove WWRF,CA0084620,5S,37.92487,-120.635969,,,,,
9 000000117,,Irvine Desalter Project Shallow GW Unit,CA0107611,,,,,,,,
9 000000117,257850,SOCWA - Coastal TP,CA0107611,9,33.54587,-117.716339,33.553797,-117.719504,06009006001,1176037,South Orange County Wastewater Authority (Coastal Treatment Plant)
9 000000117,241053,SOCWA - Regional TP,CA0107611,9,33.536498,-117.698911,,,,,
9 000000117,257590,SOCWA Aliso Creek Ocean Outfall,CA0107611,9,33.466786,-117.685536,,,,,
9 000000175,255218,City of San Clemente WRP,CA0107417,9,33.435947,-117.627018,33.4364,-117.6256,06009038001,1176076,"San Clemente, City of (Water Reclamation Plant)"
9 000000175,257518,SMWD - Chiquita WRP,CA0107417,9,33.517265,-117.629322,33.541895,-117.607355,06009074002,3334975,Santa Margarita Water District (Chiquita WRP)
9 000000175,257520,SMWD Oso Creek WRP,CA0107417,9,33.59444,-117.65566,33.5967,-117.6558,06009074001,1176093,Santa Margarita Water District (Oso Creek WRP)
9 000000175,241540,SOCWA - 3A Treatment Plant,CA0107417,9,33.570296,-117.673718,33.5711,-117.6736,06009075001,1176094,MNWD WWTP 3A
9 000000175,257592,SOCWA San Juan Creek Ocean Outfall,CA0107417,9,33.522454,-117.665743,,,,,
9 000000900,257831,South Bay WRP,CA0109045,9,32.545457,-117.069647,32.544552,-117.070688,06009031004,1176069,South Bay WRP
7A130101011,212589,Calexico City WWTP,CA7000009,7,32.664611,-115.550889,32.670376,-115.513344,06007005001,1175911,CALEXICO WWTF
3 401019759,824400,Cayucos SD WWTP,CA3000001,3,35.42045,-120.86297,,,,,
5B390107001,258739,Wastewater Recovery Center,CA0079138,5S,37.936547,-121.329178,37.937778,-121.335556,06005025001,1175546,Stockton Regional WWCF
8 302006002,758391,Los Alisos WD WWTP,CA8000326,8,,,33.636488,-117.717390,06009076001,1176095,Irvine Ranch Water District (Los Alisos WRP)
8 330101001,259170,Beaumont WWTP No. 1,CA0105376,8,33.92488,-116.99108,33.9314,-116.9872,06008012001,1175963,BEAUMONT WWTF
